,volume,genre,left,right,burst_len,volume_number,add_to_paragraph_number,full_paragraph_number,chapter,chapter_start,start_in_chapter
73,Volume 1 (1762),essay,147,148,2,0,0,147,II,77,70
74,Volume 1 (1762),essay,37,38,2,0,0,37,I,0,37
75,Volume 1 (1762),essay,18,19,2,0,0,18,I,0,18
76,Volume 1 (1762),essay,91,92,2,0,0,91,II,77,14
77,Volume 1 (1762),essay,41,42,2,0,0,41,I,0,41
78,Volume 1 (1762),essay,30,31,2,0,0,30,I,0,30
79,Volume 1 (1762),essay,546,546,1,0,0,546,X,538,8
80,Volume 1 (1762),essay,544,544,1,0,0,544,X,538,6
81,Volume 1 (1762),essay,530,530,1,0,0,530,IX,478,52
82,Volume 1 (1762),essay,525,525,1,0,0,525,IX,478,47
83,Volume 1 (1762),essay,77,77,1,0,0,77,II,77,0
84,Volume 1 (1762),essay,514,514,1,0,0,514,IX,478,36
85,Volume 1 (1762),essay,577,577,1,0,0,577,X,538,39
86,Volume 1 (1762),essay,512,512,1,0,0,512,IX,478,34
87,Volume 1 (1762),essay,84,84,1,0,0,84,II,77,7
88,Volume 1 (1762),essay,478,478,1,0,0,478,IX,478,0
89,Volume 1 (1762),essay,475,475,1,0,0,475,VIII ,426,49
90,Volume 1 (1762),essay,464,464,1,0,0,464,VIII ,426,38
91,Volume 1 (1762),essay,571,571,1,0,0,571,X,538,33
92,Volume 1 (1762),essay,190,190,1,0,0,190,III,156,34
93,Volume 1 (1762),essay,581,581,1,0,0,581,XI,578,3
94,Volume 1 (1762),essay,417,417,1,0,0,417,VII,405,12
95,Volume 1 (1762),essay,590,590,1,0,0,590,XI,578,12
96,Volume 1 (1762),essay,595,595,1,0,0,595,XI,578,17
97,Volume 1 (1762),essay,58,58,1,0,0,58,I,0,58
98,Volume 1 (1762),essay,606,606,1,0,0,606,XI,578,28
99,Volume 1 (1762),essay,23,23,1,0,0,23,I,0,23
100,Volume 1 (1762),essay,659,659,1,0,0,659,APPENDIX II,648,11
101,Volume 1 (1762),essay,661,661,1,0,0,661,APPENDIX II,648,13
102,Volume 1 (1762),essay,663,663,1,0,0,663,APPENDIX II,648,15
103,Volume 1 (1762),essay,674,674,1,0,0,674,APPENDIX II,648,26
104,Volume 1 (1762),essay,676,676,1,0,0,676,APPENDIX II,648,28
105,Volume 1 (1762),essay,691,691,1,0,0,691,APPENDIX II,648,43
106,Volume 1 (1762),essay,94,94,1,0,0,94,II,77,17
107,Volume 1 (1762),essay,415,415,1,0,0,415,VII,405,10
108,Volume 1 (1762),essay,193,193,1,0,0,193,III,156,37
109,Volume 1 (1762),essay,405,405,1,0,0,405,VII,405,0
110,Volume 1 (1762),essay,206,206,1,0,0,206,III,156,50
111,Volume 1 (1762),essay,213,213,1,0,0,213,III,156,57
112,Volume 1 (1762),essay,188,188,1,0,0,188,III,156,32
113,Volume 1 (1762),essay,223,223,1,0,0,223,III,156,67
114,Volume 1 (1762),essay,185,185,1,0,0,185,III,156,29
115,Volume 1 (1762),essay,183,183,1,0,0,183,III,156,27
116,Volume 1 (1762),essay,252,252,1,0,0,252,APPENDIX I,238,14
117,Volume 1 (1762),essay,178,178,1,0,0,178,III,156,22
118,Volume 1 (1762),essay,166,166,1,0,0,166,III,156,10
119,Volume 1 (1762),essay,269,269,1,0,0,269,APPENDIX I,238,31
120,Volume 1 (1762),essay,164,164,1,0,0,164,III,156,8
121,Volume 1 (1762),essay,155,155,1,0,0,155,II,77,78
122,Volume 1 (1762),essay,285,285,1,0,0,285,APPENDIX I,238,47
123,Volume 1 (1762),essay,287,287,1,0,0,287,IV,286,1
124,Volume 1 (1762),essay,290,290,1,0,0,290,IV,286,4
125,Volume 1 (1762),essay,6,6,1,0,0,6,I,0,6
126,Volume 1 (1762),essay,140,140,1,0,0,140,II,77,63
127,Volume 1 (1762),essay,328,328,1,0,0,328,IV,286,42
128,Volume 1 (1762),essay,334,334,1,0,0,334,IV,286,48
129,Volume 1 (1762),essay,138,138,1,0,0,138,II,77,61
130,Volume 1 (1762),essay,348,348,1,0,0,348,V,340,8
131,Volume 1 (1762),essay,136,136,1,0,0,136,II,77,59
132,Volume 1 (1762),essay,363,363,1,0,0,363,V,340,23
133,Volume 1 (1762),essay,372,372,1,0,0,372,VI,366,6
134,Volume 1 (1762),essay,378,378,1,0,0,378,VI,366,12
135,Volume 1 (1762),essay,108,108,1,0,0,108,II,77,31
136,Volume 1 (1762),essay,385,385,1,0,0,385,VI,366,19
137,Volume 1 (1762),essay,388,388,1,0,0,388,VI,366,22
138,Volume 1 (1762),essay,400,400,1,0,0,400,VI,366,34
139,Volume 1 (1762),essay,314,314,1,0,0,314,IV,286,28
140,Volume 1 (1762),political discourses,0,22,23,0,0,0,I,0,0
141,Volume 1 (1762),political discourses,255,262,8,0,0,255,APPENDIX I,238,17
142,Volume 1 (1762),political discourses,278,285,8,0,0,278,APPENDIX I,238,40
143,Volume 1 (1762),political discourses,647,653,7,0,0,647,XI,578,69
144,Volume 1 (1762),political discourses,269,275,7,0,0,269,APPENDIX I,238,31
145,Volume 1 (1762),political discourses,248,253,6,0,0,248,APPENDIX I,238,10
146,Volume 1 (1762),political discourses,352,355,4,0,0,352,V,340,12
147,Volume 1 (1762),political discourses,108,111,4,0,0,108,II,77,31
148,Volume 1 (1762),political discourses,332,334,3,0,0,332,IV,286,46
149,Volume 1 (1762),political discourses,241,243,3,0,0,241,APPENDIX I,238,3
150,Volume 1 (1762),political discourses,661,663,3,0,0,661,APPENDIX II,648,13
151,Volume 1 (1762),political discourses,669,671,3,0,0,669,APPENDIX II,648,21
152,Volume 1 (1762),political discourses,655,657,3,0,0,655,APPENDIX II,648,7
153,Volume 1 (1762),political discourses,684,686,3,0,0,684,APPENDIX II,648,36
154,Volume 1 (1762),political discourses,701,702,2,0,0,701,APPENDIX II,648,53
155,Volume 1 (1762),political discourses,693,694,2,0,0,693,APPENDIX II,648,45
156,Volume 1 (1762),political discourses,265,266,2,0,0,265,APPENDIX I,238,27
157,Volume 1 (1762),political discourses,690,691,2,0,0,690,APPENDIX II,648,42
158,Volume 1 (1762),political discourses,287,288,2,0,0,287,IV,286,1
159,Volume 1 (1762),political discourses,631,632,2,0,0,631,XI,578,53
160,Volume 1 (1762),political discourses,573,574,2,0,0,573,X,538,35
161,Volume 1 (1762),political discourses,426,427,2,0,0,426,VIII ,426,0
162,Volume 1 (1762),political discourses,477,478,2,0,0,477,VIII ,426,51
163,Volume 1 (1762),political discourses,506,507,2,0,0,506,IX,478,28
164,Volume 1 (1762),political discourses,245,246,2,0,0,245,APPENDIX I,238,7
165,Volume 1 (1762),political discourses,532,533,2,0,0,532,IX,478,54
166,Volume 1 (1762),political discourses,527,528,2,0,0,527,IX,478,49
167,Volume 1 (1762),political discourses,706,707,2,0,0,706,APPENDIX II,648,58
168,Volume 1 (1762),political discourses,238,239,2,0,0,238,APPENDIX I,238,0
169,Volume 1 (1762),political discourses,223,224,2,0,0,223,III,156,67
170,Volume 1 (1762),political discourses,105,106,2,0,0,105,II,77,28
171,Volume 1 (1762),political discourses,30,31,2,0,0,30,I,0,30
172,Volume 1 (1762),political discourses,148,149,2,0,0,148,II,77,71
173,Volume 1 (1762),political discourses,601,601,1,0,0,601,XI,578,23
174,Volume 1 (1762),political discourses,644,644,1,0,0,644,XI,578,66
175,Volume 1 (1762),political discourses,79,79,1,0,0,79,II,77,2
176,Volume 1 (1762),political discourses,606,606,1,0,0,606,XI,578,28
177,Volume 1 (1762),political discourses,604,604,1,0,0,604,XI,578,26
178,Volume 1 (1762),political discourses,576,576,1,0,0,576,X,538,38
179,Volume 1 (1762),political discourses,598,598,1,0,0,598,XI,578,20
180,Volume 1 (1762),political discourses,73,73,1,0,0,73,I,0,73
181,Volume 1 (1762),political discourses,91,91,1,0,0,91,II,77,14
182,Volume 1 (1762),political discourses,562,562,1,0,0,562,X,538,24
183,Volume 1 (1762),political discourses,546,546,1,0,0,546,X,538,8
184,Volume 1 (1762),political discourses,77,77,1,0,0,77,II,77,0
185,Volume 1 (1762),political discourses,665,665,1,0,0,665,APPENDIX II,648,17
186,Volume 1 (1762),political discourses,71,71,1,0,0,71,I,0,71
187,Volume 1 (1762),political discourses,541,541,1,0,0,541,X,538,3
188,Volume 1 (1762),political discourses,69,69,1,0,0,69,I,0,69
189,Volume 1 (1762),political discourses,673,673,1,0,0,673,APPENDIX II,648,25
190,Volume 1 (1762),political discourses,676,676,1,0,0,676,APPENDIX II,648,28
191,Volume 1 (1762),political discourses,678,678,1,0,0,678,APPENDIX II,648,30
192,Volume 1 (1762),political discourses,681,681,1,0,0,681,APPENDIX II,648,33
193,Volume 1 (1762),political discourses,42,42,1,0,0,42,I,0,42
194,Volume 1 (1762),political discourses,38,38,1,0,0,38,I,0,38
195,Volume 1 (1762),political discourses,696,696,1,0,0,696,APPENDIX II,648,48
196,Volume 1 (1762),political discourses,28,28,1,0,0,28,I,0,28
197,Volume 1 (1762),political discourses,704,704,1,0,0,704,APPENDIX II,648,56
198,Volume 1 (1762),political discourses,544,544,1,0,0,544,X,538,6
199,Volume 1 (1762),political discourses,530,530,1,0,0,530,IX,478,52
200,Volume 1 (1762),political discourses,94,94,1,0,0,94,II,77,17
201,Volume 1 (1762),political discourses,229,229,1,0,0,229,III,156,73
202,Volume 1 (1762),political discourses,179,179,1,0,0,179,III,156,23
203,Volume 1 (1762),political discourses,166,166,1,0,0,166,III,156,10
204,Volume 1 (1762),political discourses,164,164,1,0,0,164,III,156,8
205,Volume 1 (1762),political discourses,295,295,1,0,0,295,IV,286,9
206,Volume 1 (1762),political discourses,298,298,1,0,0,298,IV,286,12
207,Volume 1 (1762),political discourses,308,308,1,0,0,308,IV,286,22
208,Volume 1 (1762),political discourses,327,327,1,0,0,327,IV,286,41
209,Volume 1 (1762),political discourses,153,153,1,0,0,153,II,77,76
210,Volume 1 (1762),political discourses,338,338,1,0,0,338,IV,286,52
211,Volume 1 (1762),political discourses,349,349,1,0,0,349,V,340,9
212,Volume 1 (1762),political discourses,358,358,1,0,0,358,V,340,18
213,Volume 1 (1762),political discourses,362,362,1,0,0,362,V,340,22
214,Volume 1 (1762),political discourses,25,25,1,0,0,25,I,0,25
215,Volume 1 (1762),political discourses,401,401,1,0,0,401,VI,366,35
216,Volume 1 (1762),political discourses,404,404,1,0,0,404,VI,366,38
217,Volume 1 (1762),political discourses,415,415,1,0,0,415,VII,405,10
218,Volume 1 (1762),political discourses,115,115,1,0,0,115,II,77,38
219,Volume 1 (1762),political discourses,429,429,1,0,0,429,VIII ,426,3
220,Volume 1 (1762),political discourses,448,448,1,0,0,448,VIII ,426,22
221,Volume 1 (1762),political discourses,113,113,1,0,0,113,II,77,36
222,Volume 1 (1762),political discourses,481,481,1,0,0,481,IX,478,3
223,Volume 1 (1762),political discourses,484,484,1,0,0,484,IX,478,6
224,Volume 1 (1762),political discourses,494,494,1,0,0,494,IX,478,16
225,Volume 1 (1762),political discourses,504,504,1,0,0,504,IX,478,26
226,Volume 1 (1762),political discourses,96,96,1,0,0,96,II,77,19
227,Volume 1 (1762),political discourses,365,365,1,0,0,365,V,340,25
228,Volume 2 (1762),dissertation,88,88,1,1,708,796,XII,708,88
229,Volume 2 (1762),dissertation,778,778,1,1,708,1486,XXIII,1455,31
230,Volume 2 (1762),enquiry,0,0,1,1,708,708,XII,708,0
231,Volume 2 (1762),enquiry,88,88,1,1,708,796,XII,708,88
232,Volume 2 (1762),enquiry,785,785,1,1,708,1493,XXIII,1455,38
233,Volume 2 (1762),enquiry,782,782,1,1,708,1490,XXIII,1455,35
234,Volume 2 (1762),enquiry,777,777,1,1,708,1485,XXIII,1455,30
235,Volume 2 (1762),enquiry,755,755,1,1,708,1463,XXIII,1455,8
236,Volume 2 (1762),enquiry,731,731,1,1,708,1439,XXII,1402,37
237,Volume 2 (1762),enquiry,656,656,1,1,708,1364,XXI,1359,5
238,Volume 2 (1762),enquiry,645,645,1,1,708,1353,XX,1285,68
239,Volume 2 (1762),enquiry,626,626,1,1,708,1334,XX,1285,49
240,Volume 2 (1762),enquiry,624,624,1,1,708,1332,XX,1285,47
241,Volume 2 (1762),enquiry,622,622,1,1,708,1330,XX,1285,45
242,Volume 2 (1762),enquiry,612,612,1,1,708,1320,XX,1285,35
243,Volume 2 (1762),enquiry,609,609,1,1,708,1317,XX,1285,32
244,Volume 2 (1762),enquiry,567,567,1,1,708,1275,XIX,1239,36
245,Volume 2 (1762),enquiry,486,486,1,1,708,1194,XVII,1132,62
246,Volume 2 (1762),enquiry,447,447,1,1,708,1155,XVII,1132,23
247,Volume 2 (1762),enquiry,374,374,1,1,708,1082,XVI,1050,32
248,Volume 2 (1762),enquiry,303,303,1,1,708,1011,XV,961,50
249,Volume 2 (1762),enquiry,242,242,1,1,708,950,XIV,912,38
250,Volume 2 (1762),enquiry,199,199,1,1,708,907,XIII,812,95
251,Volume 2 (1762),enquiry,176,176,1,1,708,884,XIII,812,72
252,Volume 2 (1762),enquiry,164,164,1,1,708,872,XIII,812,60
253,Volume 2 (1762),enquiry,788,788,1,1,708,1496,XXIII,1455,41
254,Volume 2 (1762),essay,776,786,11,1,708,1484,XXIII,1455,29
255,Volume 2 (1762),essay,788,791,4,1,708,1496,XXIII,1455,41
256,Volume 2 (1762),essay,431,433,3,1,708,1139,XVII,1132,7
257,Volume 2 (1762),essay,421,423,3,1,708,1129,XVI,1050,79
258,Volume 2 (1762),essay,247,249,3,1,708,955,XIV,912,43
259,Volume 2 (1762),essay,665,667,3,1,708,1373,XXI,1359,14
260,Volume 2 (1762),essay,626,627,2,1,708,1334,XX,1285,49
261,Volume 2 (1762),essay,477,478,2,1,708,1185,XVII,1132,53
262,Volume 2 (1762),essay,530,531,2,1,708,1238,XVIII,1208,30
263,Volume 2 (1762),essay,388,389,2,1,708,1096,XVI,1050,46
264,Volume 2 (1762),essay,567,568,2,1,708,1275,XIX,1239,36
265,Volume 2 (1762),essay,601,602,2,1,708,1309,XX,1285,24
266,Volume 2 (1762),essay,282,283,2,1,708,990,XV,961,29
267,Volume 2 (1762),essay,615,616,2,1,708,1323,XX,1285,38
268,Volume 2 (1762),essay,490,491,2,1,708,1198,XVII,1132,66
269,Volume 2 (1762),essay,239,240,2,1,708,947,XIV,912,35
270,Volume 2 (1762),essay,497,498,2,1,708,1205,XVII,1132,73
271,Volume 2 (1762),essay,87,88,2,1,708,795,XII,708,87
272,Volume 2 (1762),essay,656,657,2,1,708,1364,XXI,1359,5
273,Volume 2 (1762),essay,114,115,2,1,708,822,XIII,812,10
274,Volume 2 (1762),essay,98,99,2,1,708,806,XII,708,98
275,Volume 2 (1762),essay,716,717,2,1,708,1424,XXII,1402,22
276,Volume 2 (1762),essay,703,704,2,1,708,1411,XXII,1402,9
277,Volume 2 (1762),essay,539,539,1,1,708,1247,XIX,1239,8
278,Volume 2 (1762),essay,760,760,1,1,708,1468,XXIII,1455,13
279,Volume 2 (1762),essay,500,500,1,1,708,1208,XVIII,1208,0
280,Volume 2 (1762),essay,518,518,1,1,708,1226,XVIII,1208,18
281,Volume 2 (1762),essay,521,521,1,1,708,1229,XVIII,1208,21
282,Volume 2 (1762),essay,739,739,1,1,708,1447,XXII,1402,45
283,Volume 2 (1762),essay,731,731,1,1,708,1439,XXII,1402,37
284,Volume 2 (1762),essay,525,525,1,1,708,1233,XVIII,1208,25
285,Volume 2 (1762),essay,527,527,1,1,708,1235,XVIII,1208,27
286,Volume 2 (1762),essay,533,533,1,1,708,1241,XIX,1239,2
287,Volume 2 (1762),essay,649,649,1,1,708,1357,XX,1285,72
288,Volume 2 (1762),essay,644,644,1,1,708,1352,XX,1285,67
289,Volume 2 (1762),essay,571,571,1,1,708,1279,XIX,1239,40
290,Volume 2 (1762),essay,576,576,1,1,708,1284,XIX,1239,45
291,Volume 2 (1762),essay,580,580,1,1,708,1288,XX,1285,3
292,Volume 2 (1762),essay,599,599,1,1,708,1307,XX,1285,22
293,Volume 2 (1762),essay,606,606,1,1,708,1314,XX,1285,29
294,Volume 2 (1762),essay,693,693,1,1,708,1401,XXI,1359,42
295,Volume 2 (1762),essay,689,689,1,1,708,1397,XXI,1359,38
296,Volume 2 (1762),essay,677,677,1,1,708,1385,XXI,1359,26
297,Volume 2 (1762),essay,651,651,1,1,708,1359,XXI,1359,0
298,Volume 2 (1762),essay,624,624,1,1,708,1332,XX,1285,47
299,Volume 2 (1762),essay,0,0,1,1,708,708,XII,708,0
300,Volume 2 (1762),essay,486,486,1,1,708,1194,XVII,1132,62
301,Volume 2 (1762),essay,145,145,1,1,708,853,XIII,812,41
302,Volume 2 (1762),essay,206,206,1,1,708,914,XIV,912,2
303,Volume 2 (1762),essay,199,199,1,1,708,907,XIII,812,95
304,Volume 2 (1762),essay,186,186,1,1,708,894,XIII,812,82
305,Volume 2 (1762),essay,183,183,1,1,708,891,XIII,812,79
306,Volume 2 (1762),essay,181,181,1,1,708,889,XIII,812,77
307,Volume 2 (1762),essay,165,165,1,1,708,873,XIII,812,61
308,Volume 2 (1762),essay,138,138,1,1,708,846,XIII,812,34
309,Volume 2 (1762),essay,265,265,1,1,708,973,XV,961,12
310,Volume 2 (1762),essay,80,80,1,1,708,788,XII,708,80
311,Volume 2 (1762),essay,56,56,1,1,708,764,XII,708,56
312,Volume 2 (1762),essay,51,51,1,1,708,759,XII,708,51
313,Volume 2 (1762),essay,31,31,1,1,708,739,XII,708,31
314,Volume 2 (1762),essay,20,20,1,1,708,728,XII,708,20
315,Volume 2 (1762),essay,17,17,1,1,708,725,XII,708,17
316,Volume 2 (1762),essay,222,222,1,1,708,930,XIV,912,18
317,Volume 2 (1762),essay,271,271,1,1,708,979,XV,961,18
318,Volume 2 (1762),essay,483,483,1,1,708,1191,XVII,1132,59
319,Volume 2 (1762),essay,400,400,1,1,708,1108,XVI,1050,58
320,Volume 2 (1762),essay,468,468,1,1,708,1176,XVII,1132,44
321,Volume 2 (1762),essay,455,455,1,1,708,1163,XVII,1132,31
322,Volume 2 (1762),essay,4,4,1,1,708,712,XII,708,4
323,Volume 2 (1762),essay,417,417,1,1,708,1125,XVI,1050,75
324,Volume 2 (1762),essay,412,412,1,1,708,1120,XVI,1050,70
325,Volume 2 (1762),essay,406,406,1,1,708,1114,XVI,1050,64
326,Volume 2 (1762),essay,397,397,1,1,708,1105,XVI,1050,55
327,Volume 2 (1762),essay,276,276,1,1,708,984,XV,961,23
328,Volume 2 (1762),essay,374,374,1,1,708,1082,XVI,1050,32
329,Volume 2 (1762),essay,363,363,1,1,708,1071,XVI,1050,21
330,Volume 2 (1762),essay,341,341,1,1,708,1049,XV,961,88
331,Volume 2 (1762),essay,333,333,1,1,708,1041,XV,961,80
332,Volume 2 (1762),essay,322,322,1,1,708,1030,XV,961,69
333,Volume 2 (1762),essay,298,298,1,1,708,1006,XV,961,45
334,Volume 2 (1762),essay,447,447,1,1,708,1155,XVII,1132,23
335,Volume 2 (1762),political discourses,785,791,7,1,708,1493,XXIII,1455,38
336,Volume 2 (1762),political discourses,197,202,6,1,708,905,XIII,812,93
337,Volume 2 (1762),political discourses,91,95,5,1,708,799,XII,708,91
338,Volume 2 (1762),political discourses,779,783,5,1,708,1487,XXIII,1455,32
339,Volume 2 (1762),political discourses,527,530,4,1,708,1235,XVIII,1208,27
340,Volume 2 (1762),political discourses,247,250,4,1,708,955,XIV,912,43
341,Volume 2 (1762),political discourses,409,411,3,1,708,1117,XVI,1050,67
342,Volume 2 (1762),political discourses,243,245,3,1,708,951,XIV,912,39
343,Volume 2 (1762),political discourses,574,576,3,1,708,1282,XIX,1239,43
344,Volume 2 (1762),political discourses,417,418,2,1,708,1125,XVI,1050,75
345,Volume 2 (1762),political discourses,118,119,2,1,708,826,XIII,812,14
346,Volume 2 (1762),political discourses,688,689,2,1,708,1396,XXI,1359,37
347,Volume 2 (1762),political discourses,596,597,2,1,708,1304,XX,1285,19
348,Volume 2 (1762),political discourses,692,693,2,1,708,1400,XXI,1359,41
349,Volume 2 (1762),political discourses,282,283,2,1,708,990,XV,961,29
350,Volume 2 (1762),political discourses,498,499,2,1,708,1206,XVII,1132,74
351,Volume 2 (1762),political discourses,495,496,2,1,708,1203,XVII,1132,71
352,Volume 2 (1762),political discourses,405,406,2,1,708,1113,XVI,1050,63
353,Volume 2 (1762),political discourses,138,139,2,1,708,846,XIII,812,34
354,Volume 2 (1762),political discourses,423,423,1,1,708,1131,XVI,1050,81
355,Volume 2 (1762),political discourses,428,428,1,1,708,1136,XVII,1132,4
356,Volume 2 (1762),political discourses,415,415,1,1,708,1123,XVI,1050,73
357,Volume 2 (1762),political discourses,431,431,1,1,708,1139,XVII,1132,7
358,Volume 2 (1762),political discourses,433,433,1,1,708,1141,XVII,1132,9
359,Volume 2 (1762),political discourses,518,518,1,1,708,1226,XVIII,1208,18
360,Volume 2 (1762),political discourses,447,447,1,1,708,1155,XVII,1132,23
361,Volume 2 (1762),political discourses,490,490,1,1,708,1198,XVII,1132,66
362,Volume 2 (1762),political discourses,377,377,1,1,708,1085,XVI,1050,35
363,Volume 2 (1762),political discourses,521,521,1,1,708,1229,XVIII,1208,21
364,Volume 2 (1762),political discourses,601,601,1,1,708,1309,XX,1285,24
365,Volume 2 (1762),political discourses,604,604,1,1,708,1312,XX,1285,27
366,Volume 2 (1762),political discourses,612,612,1,1,708,1320,XX,1285,35
367,Volume 2 (1762),political discourses,651,651,1,1,708,1359,XXI,1359,0
368,Volume 2 (1762),political discourses,662,662,1,1,708,1370,XXI,1359,11
369,Volume 2 (1762),political discourses,777,777,1,1,708,1485,XXIII,1455,30
370,Volume 2 (1762),political discourses,399,399,1,1,708,1107,XVI,1050,57
371,Volume 2 (1762),political discourses,10,10,1,1,708,718,XII,708,10
372,Volume 2 (1762),political discourses,374,374,1,1,708,1082,XVI,1050,32
373,Volume 2 (1762),political discourses,172,172,1,1,708,880,XIII,812,68
374,Volume 2 (1762),political discourses,17,17,1,1,708,725,XII,708,17
375,Volume 2 (1762),political discourses,30,30,1,1,708,738,XII,708,30
376,Volume 2 (1762),political discourses,34,34,1,1,708,742,XII,708,34
377,Volume 2 (1762),political discourses,37,37,1,1,708,745,XII,708,37
378,Volume 2 (1762),political discourses,39,39,1,1,708,747,XII,708,39
379,Volume 2 (1762),political discourses,88,88,1,1,708,796,XII,708,88
380,Volume 2 (1762),political discourses,100,100,1,1,708,808,XII,708,100
