,volume,genre,burst_len,chapter,start_in_chapter
92,Volume 1 (1762),essay,1,VI,19
93,Volume 1 (1762),essay,1,VI,22
94,Volume 1 (1762),essay,1,VI,34
95,Volume 1 (1762),essay,1,II,0
96,Volume 1 (1762),essay,1,I,58
97,Volume 1 (1762),essay,1,VIII ,49
98,Volume 1 (1762),essay,1,I,0
99,Volume 1 (1762),political discourses,15,APPENDIX I,10
100,Volume 1 (1762),political discourses,12,XI,68
101,Volume 1 (1762),political discourses,11,I,5
102,Volume 1 (1762),political discourses,7,APPENDIX I,31
103,Volume 1 (1762),political discourses,7,APPENDIX I,40
104,Volume 1 (1762),political discourses,6,IX,28
105,Volume 1 (1762),political discourses,5,APPENDIX II,12
106,Volume 1 (1762),political discourses,4,APPENDIX II,56
107,Volume 1 (1762),political discourses,4,I,17
108,Volume 1 (1762),political discourses,4,I,22
109,Volume 1 (1762),political discourses,4,APPENDIX I,26
110,Volume 1 (1762),political discourses,4,APPENDIX II,34
111,Volume 1 (1762),political discourses,4,APPENDIX II,25
112,Volume 1 (1762),political discourses,4,APPENDIX II,20
113,Volume 1 (1762),political discourses,3,VII,20
114,Volume 1 (1762),political discourses,3,IV,46
115,Volume 1 (1762),political discourses,3,APPENDIX I,3
116,Volume 1 (1762),political discourses,3,VIII ,50
117,Volume 1 (1762),political discourses,3,I,30
118,Volume 1 (1762),political discourses,3,APPENDIX II,52
119,Volume 1 (1762),political discourses,2,V,25
120,Volume 1 (1762),political discourses,2,V,12
121,Volume 1 (1762),political discourses,2,APPENDIX I,0
122,Volume 1 (1762),political discourses,2,X,6
123,Volume 1 (1762),political discourses,2,XI,20
124,Volume 1 (1762),political discourses,2,APPENDIX I,7
125,Volume 1 (1762),political discourses,2,IX,54
126,Volume 1 (1762),political discourses,2,I,1
127,Volume 1 (1762),political discourses,2,III,67
128,Volume 1 (1762),political discourses,2,II,31
129,Volume 1 (1762),political discourses,2,II,28
130,Volume 1 (1762),political discourses,2,I,69
131,Volume 1 (1762),political discourses,2,II,5
132,Volume 1 (1762),political discourses,2,II,64
133,Volume 1 (1762),political discourses,1,XI,28
134,Volume 1 (1762),political discourses,1,IX,49
135,Volume 1 (1762),political discourses,1,IX,52
136,Volume 1 (1762),political discourses,1,X,20
137,Volume 1 (1762),political discourses,1,X,36
138,Volume 1 (1762),political discourses,1,X,38
139,Volume 1 (1762),political discourses,1,II,8
140,Volume 1 (1762),political discourses,1,XI,26
141,Volume 1 (1762),political discourses,1,XI,53
142,Volume 1 (1762),political discourses,1,XI,51
143,Volume 1 (1762),political discourses,1,IX,40
144,Volume 1 (1762),political discourses,1,XI,55
145,Volume 1 (1762),political discourses,1,II,0
146,Volume 1 (1762),political discourses,1,I,67
147,Volume 1 (1762),political discourses,1,APPENDIX II,30
148,Volume 1 (1762),political discourses,1,I,35
149,Volume 1 (1762),political discourses,1,APPENDIX II,40
150,Volume 1 (1762),political discourses,1,APPENDIX II,43
151,Volume 1 (1762),political discourses,1,I,28
152,Volume 1 (1762),political discourses,1,IX,42
153,Volume 1 (1762),political discourses,1,IX,36
154,Volume 1 (1762),political discourses,1,III,23
155,Volume 1 (1762),political discourses,1,II,34
156,Volume 1 (1762),political discourses,1,III,15
157,Volume 1 (1762),political discourses,1,III,10
158,Volume 1 (1762),political discourses,1,III,8
159,Volume 1 (1762),political discourses,1,III,6
160,Volume 1 (1762),political discourses,1,IV,11
161,Volume 1 (1762),political discourses,1,IV,22
162,Volume 1 (1762),political discourses,1,IV,38
163,Volume 1 (1762),political discourses,1,II,72
164,Volume 1 (1762),political discourses,1,IV,52
165,Volume 1 (1762),political discourses,1,II,57
166,Volume 1 (1762),political discourses,1,V,15
167,Volume 1 (1762),political discourses,1,II,53
168,Volume 1 (1762),political discourses,1,VI,36
169,Volume 1 (1762),political discourses,1,VI,38
170,Volume 1 (1762),political discourses,1,VII,10
171,Volume 1 (1762),political discourses,1,VII,14
172,Volume 1 (1762),political discourses,1,II,47
173,Volume 1 (1762),political discourses,1,VIII ,3
174,Volume 1 (1762),political discourses,1,VIII ,22
175,Volume 1 (1762),political discourses,1,VIII ,25
176,Volume 1 (1762),political discourses,1,II,38
177,Volume 1 (1762),political discourses,1,V,8
178,Volume 1 (1762),treatise,1,APPENDIX I,26
179,Volume 2 (1762),dissertation,3,XX,47
180,Volume 2 (1762),dissertation,1,XII,88
181,Volume 2 (1762),dissertation,1,XVII,62
182,Volume 2 (1762),dissertation,1,XVII,66
183,Volume 2 (1762),dissertation,1,XX,23
184,Volume 2 (1762),dissertation,1,XX,32
185,Volume 2 (1762),enquiry,1,XVII,66
186,Volume 2 (1762),enquiry,1,XIX,37
187,Volume 2 (1762),enquiry,1,XX,3
188,Volume 2 (1762),enquiry,1,XX,24
189,Volume 2 (1762),enquiry,1,XX,45
190,Volume 2 (1762),enquiry,1,XX,47
191,Volume 2 (1762),enquiry,1,XX,49
192,Volume 2 (1762),enquiry,1,XXIII,31
193,Volume 2 (1762),essay,5,XXIII,34
194,Volume 2 (1762),essay,4,XIV,35
195,Volume 2 (1762),essay,4,XXIII,29
196,Volume 2 (1762),essay,4,XX,22
197,Volume 2 (1762),essay,4,XX,47
198,Volume 2 (1762),essay,3,XX,37
199,Volume 2 (1762),essay,3,XIX,35
200,Volume 2 (1762),essay,3,XII,98
201,Volume 2 (1762),essay,2,XVII,61
202,Volume 2 (1762),essay,2,XVI,46
203,Volume 2 (1762),essay,2,XX,2
204,Volume 2 (1762),essay,2,XX,28
205,Volume 2 (1762),essay,2,XV,68
206,Volume 2 (1762),essay,2,XX,44
207,Volume 2 (1762),essay,2,XVII,66
208,Volume 2 (1762),essay,2,XII,87
209,Volume 2 (1762),essay,1,XX,67
210,Volume 2 (1762),essay,1,XVIII,18
211,Volume 2 (1762),essay,1,XXIII,42
212,Volume 2 (1762),essay,1,XVIII,21
213,Volume 2 (1762),essay,1,XVIII,24
214,Volume 2 (1762),essay,1,XVIII,27
215,Volume 2 (1762),essay,1,XIX,1
216,Volume 2 (1762),essay,1,XIX,8
217,Volume 2 (1762),essay,1,XXIII,2
218,Volume 2 (1762),essay,1,XIX,40
219,Volume 2 (1762),essay,1,XXII,37
220,Volume 2 (1762),essay,1,XXII,6
221,Volume 2 (1762),essay,1,XXI,3
222,Volume 2 (1762),essay,1,XX,32
223,Volume 2 (1762),essay,1,XXI,0
224,Volume 2 (1762),essay,1,XX,35
225,Volume 2 (1762),essay,1,XII,0
226,Volume 2 (1762),essay,1,XVII,59
227,Volume 2 (1762),essay,1,XVII,73
228,Volume 2 (1762),essay,1,XII,4
229,Volume 2 (1762),essay,1,XII,17
230,Volume 2 (1762),essay,1,XII,20
231,Volume 2 (1762),essay,1,XII,90
232,Volume 2 (1762),essay,1,XIII,10
233,Volume 2 (1762),essay,1,XIII,61
234,Volume 2 (1762),essay,1,XIII,65
235,Volume 2 (1762),essay,1,XIII,82
236,Volume 2 (1762),essay,1,XIII,85
237,Volume 2 (1762),essay,1,XIV,2
238,Volume 2 (1762),essay,1,XIV,18
239,Volume 2 (1762),essay,1,XV,24
240,Volume 2 (1762),essay,1,XV,29
241,Volume 2 (1762),essay,1,XV,50
242,Volume 2 (1762),essay,1,XV,80
243,Volume 2 (1762),essay,1,XV,88
244,Volume 2 (1762),essay,1,XVI,15
245,Volume 2 (1762),essay,1,XVI,29
246,Volume 2 (1762),essay,1,XVI,33
247,Volume 2 (1762),essay,1,XVI,61
248,Volume 2 (1762),essay,1,XVI,77
249,Volume 2 (1762),essay,1,XVI,80
250,Volume 2 (1762),essay,1,XVII,8
251,Volume 2 (1762),essay,1,XVII,23
252,Volume 2 (1762),essay,1,XXIII,44
253,Volume 2 (1762),political discourses,10,XXIII,32
254,Volume 2 (1762),political discourses,8,XVI,72
255,Volume 2 (1762),political discourses,6,XII,98
256,Volume 2 (1762),political discourses,5,XIV,43
257,Volume 2 (1762),political discourses,5,XIII,93
258,Volume 2 (1762),political discourses,4,XVI,67
259,Volume 2 (1762),political discourses,4,XVIII,27
260,Volume 2 (1762),political discourses,4,XII,90
261,Volume 2 (1762),political discourses,4,XIV,38
262,Volume 2 (1762),political discourses,4,XVII,72
263,Volume 2 (1762),political discourses,3,XIII,59
264,Volume 2 (1762),political discourses,3,XVII,7
265,Volume 2 (1762),political discourses,3,XVI,57
266,Volume 2 (1762),political discourses,3,XVI,53
267,Volume 2 (1762),political discourses,3,XIII,13
268,Volume 2 (1762),political discourses,3,XIII,85
269,Volume 2 (1762),political discourses,3,XIX,43
270,Volume 2 (1762),political discourses,2,XXI,41
271,Volume 2 (1762),political discourses,2,XVII,23
272,Volume 2 (1762),political discourses,2,XV,29
273,Volume 2 (1762),political discourses,2,XVI,61
274,Volume 2 (1762),political discourses,2,XXI,37
275,Volume 2 (1762),political discourses,2,XVI,31
276,Volume 2 (1762),political discourses,2,XIX,40
277,Volume 2 (1762),political discourses,2,XIII,34
278,Volume 2 (1762),political discourses,2,XX,27
279,Volume 2 (1762),political discourses,2,XII,95
280,Volume 2 (1762),political discourses,1,XIX,19
281,Volume 2 (1762),political discourses,1,XVII,61
282,Volume 2 (1762),political discourses,1,XXI,16
283,Volume 2 (1762),political discourses,1,XXI,3
284,Volume 2 (1762),political discourses,1,XX,72
285,Volume 2 (1762),political discourses,1,XXII,6
286,Volume 2 (1762),political discourses,1,XVII,40
287,Volume 2 (1762),political discourses,1,XVII,65
288,Volume 2 (1762),political discourses,1,XVII,4
289,Volume 2 (1762),political discourses,1,XVII,69
290,Volume 2 (1762),political discourses,1,XX,25
291,Volume 2 (1762),political discourses,1,XVIII,18
292,Volume 2 (1762),political discourses,1,XVIII,21
293,Volume 2 (1762),political discourses,1,XVIII,24
294,Volume 2 (1762),political discourses,1,XIX,8
295,Volume 2 (1762),political discourses,1,XXIII,29
296,Volume 2 (1762),political discourses,1,XII,0
297,Volume 2 (1762),political discourses,1,XVI,81
298,Volume 2 (1762),political discourses,1,XIII,89
299,Volume 2 (1762),political discourses,1,XII,14
300,Volume 2 (1762),political discourses,1,XII,24
301,Volume 2 (1762),political discourses,1,XII,30
302,Volume 2 (1762),political discourses,1,XII,34
303,Volume 2 (1762),political discourses,1,XII,37
304,Volume 2 (1762),political discourses,1,XII,49
305,Volume 2 (1762),political discourses,1,XII,57
306,Volume 2 (1762),political discourses,1,XII,75
307,Volume 2 (1762),political discourses,1,XII,87
308,Volume 2 (1762),political discourses,1,XIII,10
309,Volume 2 (1762),political discourses,1,XIII,42
310,Volume 2 (1762),political discourses,1,XIV,36
311,Volume 2 (1762),political discourses,1,XVI,64
312,Volume 2 (1762),political discourses,1,XV,2
313,Volume 2 (1762),political discourses,1,XV,23
314,Volume 2 (1762),political discourses,1,XV,45
315,Volume 2 (1762),political discourses,1,XV,63
316,Volume 2 (1762),political discourses,1,XV,69
317,Volume 2 (1762),political discourses,1,XVI,1
318,Volume 2 (1762),political discourses,1,XVI,17
319,Volume 2 (1762),political discourses,1,XVI,22
320,Volume 2 (1762),political discourses,1,XVI,29
321,Volume 2 (1762),political discourses,1,XII,4
322,Volume 2 (1762),political discourses,1,XVI,35
323,Volume 2 (1762),political discourses,1,XXIII,43
324,Volume 3 (1759),dissertation,3,XXXVII,11
325,Volume 3 (1759),dissertation,3,XXXVII,1
326,Volume 3 (1759),dissertation,3,XXXI,48
327,Volume 3 (1759),dissertation,2,XXXVII,6
328,Volume 3 (1759),dissertation,2,XXXI,0
329,Volume 3 (1759),dissertation,2,XXXI,29
330,Volume 3 (1759),dissertation,2,XXXI,63
331,Volume 3 (1759),dissertation,2,XXXII,34
332,Volume 3 (1759),dissertation,2,XXXIV,37
333,Volume 3 (1759),dissertation,1,XXXIV,12
334,Volume 3 (1759),dissertation,1,XXXV,27
335,Volume 3 (1759),dissertation,1,XXXV,25
336,Volume 3 (1759),dissertation,1,XXXIV,57
337,Volume 3 (1759),dissertation,1,XXVIII,35
338,Volume 3 (1759),dissertation,1,XXXIV,6
339,Volume 3 (1759),dissertation,1,XXXII,49
340,Volume 3 (1759),dissertation,1,XXIX,12
341,Volume 3 (1759),dissertation,1,XXXII,7
342,Volume 3 (1759),dissertation,1,XXXII,1
343,Volume 3 (1759),dissertation,1,XXXI,8
344,Volume 3 (1759),dissertation,1,XXIX,15
345,Volume 3 (1759),dissertation,1,XXXII,46
346,Volume 3 (1759),enquiry,3,XXXVII,11
347,Volume 3 (1759),enquiry,1,XXVII,48
348,Volume 3 (1759),enquiry,1,XXIX,3
349,Volume 3 (1759),enquiry,1,XXIX,66
350,Volume 3 (1759),enquiry,1,XXX,32
351,Volume 3 (1759),enquiry,1,XXXI,31
352,Volume 3 (1759),enquiry,1,XXXI,50
353,Volume 3 (1759),enquiry,1,XXXI,64
354,Volume 3 (1759),enquiry,1,XXXII,7
355,Volume 3 (1759),enquiry,1,XXXII,50
356,Volume 3 (1759),enquiry,1,XXXIII,46
357,Volume 3 (1759),enquiry,1,XXXVII,4
358,Volume 3 (1759),enquiry,1,XXXVII,6
359,Volume 3 (1759),enquiry,1,XXXVII,44
360,Volume 3 (1759),essay,10,XXIX,0
361,Volume 3 (1759),essay,8,XXXVII,6
362,Volume 3 (1759),essay,4,XXXI,29
363,Volume 3 (1759),essay,4,XXIX,14
364,Volume 3 (1759),essay,4,XXXI,0
365,Volume 3 (1759),essay,4,XXVII,9
366,Volume 3 (1759),essay,3,XXXIV,9
367,Volume 3 (1759),essay,3,XXXI,50
368,Volume 3 (1759),essay,3,XXXI,62
369,Volume 3 (1759),essay,3,XXXII,34
370,Volume 3 (1759),essay,3,XXXII,45
371,Volume 3 (1759),essay,3,XXX,7
372,Volume 3 (1759),essay,3,XXXVII,22
373,Volume 3 (1759),essay,3,XXVI,30
374,Volume 3 (1759),essay,2,XXXIV,17
375,Volume 3 (1759),essay,2,XXXVII,0
376,Volume 3 (1759),essay,2,XXX,35
377,Volume 3 (1759),essay,2,XXXVII,15
378,Volume 3 (1759),essay,2,XXXVII,3
379,Volume 3 (1759),essay,2,XXXI,7
380,Volume 3 (1759),essay,2,XXXI,47
381,Volume 3 (1759),essay,2,XXXVI,20
382,Volume 3 (1759),essay,2,XXXIV,53
383,Volume 3 (1759),essay,2,XXXII,6
384,Volume 3 (1759),essay,2,XXXV,26
385,Volume 3 (1759),essay,2,XXXII,49
386,Volume 3 (1759),essay,2,XXXIII,45
387,Volume 3 (1759),essay,2,XXIX,45
388,Volume 3 (1759),essay,2,XXXV,12
389,Volume 3 (1759),essay,2,XXXIV,6
390,Volume 3 (1759),essay,2,XXXVII,43
391,Volume 3 (1759),essay,2,XXVI,46
392,Volume 3 (1759),essay,1,XXIX,60
393,Volume 3 (1759),essay,1,XXXV,39
394,Volume 3 (1759),essay,1,XXVII,7
395,Volume 3 (1759),essay,1,XXXIV,22
396,Volume 3 (1759),essay,1,XXXIV,31
397,Volume 3 (1759),essay,1,XXXIV,36
398,Volume 3 (1759),essay,1,XXXIV,39
399,Volume 3 (1759),essay,1,XXVI,44
400,Volume 3 (1759),essay,1,XXXIV,56
401,Volume 3 (1759),essay,1,XXVI,36
402,Volume 3 (1759),essay,1,XXV,33
403,Volume 3 (1759),essay,1,XXXV,36
404,Volume 3 (1759),essay,1,XXXV,45
405,Volume 3 (1759),essay,1,XXIX,66
406,Volume 3 (1759),essay,1,XXXV,55
407,Volume 3 (1759),essay,1,XXXVI,8
408,Volume 3 (1759),essay,1,XXXVI,12
409,Volume 3 (1759),essay,1,XXV,28
410,Volume 3 (1759),essay,1,XXXVI,23
411,Volume 3 (1759),essay,1,XXV,26
412,Volume 3 (1759),essay,1,XXV,17
413,Volume 3 (1759),essay,1,XXV,4
414,Volume 3 (1759),essay,1,XXV,2
415,Volume 3 (1759),essay,1,XXIV,30
416,Volume 3 (1759),essay,1,XXXVII,27
417,Volume 3 (1759),essay,1,XXVII,16
418,Volume 3 (1759),essay,1,XXXIII,49
419,Volume 3 (1759),essay,1,XXVII,18
420,Volume 3 (1759),essay,1,XXXIII,32
421,Volume 3 (1759),essay,1,XXIX,70
422,Volume 3 (1759),essay,1,XXIX,30
423,Volume 3 (1759),essay,1,XXX,16
424,Volume 3 (1759),essay,1,XXX,25
425,Volume 3 (1759),essay,1,XXX,32
426,Volume 3 (1759),essay,1,XXIX,12
427,Volume 3 (1759),essay,1,XXX,57
428,Volume 3 (1759),essay,1,XXVIII,35
429,Volume 3 (1759),essay,1,XXVIII,27
430,Volume 3 (1759),essay,1,XXIV,12
431,Volume 3 (1759),essay,1,XXXI,35
432,Volume 3 (1759),essay,1,XXXI,42
433,Volume 3 (1759),essay,1,XXVIII,12
434,Volume 3 (1759),essay,1,XXVIII,9
435,Volume 3 (1759),essay,1,XXVIII,5
436,Volume 3 (1759),essay,1,XXXI,70
437,Volume 3 (1759),essay,1,XXXII,1
438,Volume 3 (1759),essay,1,XXVIII,1
439,Volume 3 (1759),essay,1,XXXII,13
440,Volume 3 (1759),essay,1,XXXII,16
441,Volume 3 (1759),essay,1,XXVII,48
442,Volume 3 (1759),essay,1,XXVII,30
443,Volume 3 (1759),essay,1,XXVII,25
444,Volume 3 (1759),essay,1,XXIV,6
445,Volume 3 (1759),political discourses,9,XXVI,36
446,Volume 3 (1759),political discourses,7,XXXIII,59
447,Volume 3 (1759),political discourses,6,XXXVII,46
448,Volume 3 (1759),political discourses,4,XXXV,0
449,Volume 3 (1759),political discourses,4,XXXIII,53
450,Volume 3 (1759),political discourses,3,XXXIV,31
451,Volume 3 (1759),political discourses,3,XXVI,31
452,Volume 3 (1759),political discourses,3,XXIX,9
453,Volume 3 (1759),political discourses,3,XXVII,10
454,Volume 3 (1759),political discourses,3,XXXV,39
455,Volume 3 (1759),political discourses,2,XXXI,52
456,Volume 3 (1759),political discourses,2,XXIX,36
457,Volume 3 (1759),political discourses,2,XXXII,7
458,Volume 3 (1759),political discourses,2,XXIX,1
459,Volume 3 (1759),political discourses,2,XXVIII,35
460,Volume 3 (1759),political discourses,2,XXXIV,9
461,Volume 3 (1759),political discourses,2,XXXV,36
462,Volume 3 (1759),political discourses,2,XXXI,26
463,Volume 3 (1759),political discourses,2,XXXIV,36
464,Volume 3 (1759),political discourses,2,XXXIII,49
465,Volume 3 (1759),political discourses,2,XXXII,47
466,Volume 3 (1759),political discourses,2,XXX,57
467,Volume 3 (1759),political discourses,1,XXXIV,13
468,Volume 3 (1759),political discourses,1,XXXIII,32
469,Volume 3 (1759),political discourses,1,XXXII,16
470,Volume 3 (1759),political discourses,1,XXXIII,20
471,Volume 3 (1759),political discourses,1,XXXV,9
472,Volume 3 (1759),political discourses,1,XXXIV,39
473,Volume 3 (1759),political discourses,1,XXXIV,51
474,Volume 3 (1759),political discourses,1,XXXV,24
475,Volume 3 (1759),political discourses,1,XXXV,29
476,Volume 3 (1759),political discourses,1,XXXV,34
477,Volume 3 (1759),political discourses,1,XXXV,43
478,Volume 3 (1759),political discourses,1,XXXV,45
479,Volume 3 (1759),political discourses,1,XXXV,47
480,Volume 3 (1759),political discourses,1,XXXVI,12
481,Volume 3 (1759),political discourses,1,XXXVI,21
482,Volume 3 (1759),political discourses,1,XXXVI,33
483,Volume 3 (1759),political discourses,1,XXXVII,9
484,Volume 3 (1759),political discourses,1,XXXVII,15
485,Volume 3 (1759),political discourses,1,XXXVII,17
486,Volume 3 (1759),political discourses,1,XXXII,13
487,Volume 3 (1759),political discourses,1,XXIV,1
488,Volume 3 (1759),political discourses,1,XXXI,67
489,Volume 3 (1759),political discourses,1,XXVIII,11
490,Volume 3 (1759),political discourses,1,XXV,2
491,Volume 3 (1759),political discourses,1,XXV,4
492,Volume 3 (1759),political discourses,1,XXV,17
493,Volume 3 (1759),political discourses,1,XXV,26
494,Volume 3 (1759),political discourses,1,XXV,35
495,Volume 3 (1759),political discourses,1,XXV,41
496,Volume 3 (1759),political discourses,1,XXVI,46
497,Volume 3 (1759),political discourses,1,XXVII,8
498,Volume 3 (1759),political discourses,1,XXVII,15
499,Volume 3 (1759),political discourses,1,XXVII,38
500,Volume 3 (1759),political discourses,1,XXVIII,3
501,Volume 3 (1759),political discourses,1,XXVIII,5
502,Volume 3 (1759),political discourses,1,XXVIII,9
503,Volume 3 (1759),political discourses,1,XXIX,5
504,Volume 3 (1759),political discourses,1,XXXI,62
505,Volume 3 (1759),political discourses,1,XXIX,7
506,Volume 3 (1759),political discourses,1,XXIX,16
507,Volume 3 (1759),political discourses,1,XXIX,21
508,Volume 3 (1759),political discourses,1,XXIX,24
509,Volume 3 (1759),political discourses,1,XXIX,33
510,Volume 3 (1759),political discourses,1,XXIX,43
511,Volume 3 (1759),political discourses,1,XXIX,45
512,Volume 3 (1759),political discourses,1,XXIX,57
513,Volume 3 (1759),political discourses,1,XXIX,61
514,Volume 3 (1759),political discourses,1,XXIX,70
515,Volume 3 (1759),political discourses,1,XXX,29
516,Volume 3 (1759),political discourses,1,XXV,0
517,Volume 3 (1759),political discourses,1,XXXI,32
518,Volume 3 (1759),political discourses,1,XXXI,29
519,Volume 4 (1759),dissertation,3,XXXVIII,47
520,Volume 4 (1759),dissertation,2,XXXVIII,22
521,Volume 4 (1759),dissertation,2,XXXVIII,25
522,Volume 4 (1759),dissertation,2,XL,2
523,Volume 4 (1759),dissertation,1,XXXVIII,1
524,Volume 4 (1759),dissertation,1,XL,29
525,Volume 4 (1759),dissertation,1,XLIV,63
526,Volume 4 (1759),dissertation,1,XLIV,53
527,Volume 4 (1759),dissertation,1,XLIV,6
528,Volume 4 (1759),dissertation,1,XLII,4
529,Volume 4 (1759),dissertation,1,XL,0
530,Volume 4 (1759),dissertation,1,XL,5
531,Volume 4 (1759),dissertation,1,XXXVIII,16
532,Volume 4 (1759),dissertation,1,XXXIX,38
533,Volume 4 (1759),dissertation,1,XXXVIII,51
534,Volume 4 (1759),dissertation,1,XXXVIII,28
535,Volume 4 (1759),dissertation,1,APPENDIX III,67
536,Volume 4 (1759),enquiry,2,XLII,45
537,Volume 4 (1759),enquiry,2,XLIV,53
538,Volume 4 (1759),enquiry,2,XLIV,62
539,Volume 4 (1759),enquiry,1,XXXVIII,1
540,Volume 4 (1759),enquiry,1,XXXVIII,51
541,Volume 4 (1759),enquiry,1,XXXIX,38
542,Volume 4 (1759),enquiry,1,XLII,21
543,Volume 4 (1759),enquiry,1,XLIV,60
544,Volume 4 (1759),essay,7,XLIV,60
545,Volume 4 (1759),essay,7,XXXVIII,46
546,Volume 4 (1759),essay,4,XXXIX,1
547,Volume 4 (1759),essay,4,XLIV,3
548,Volume 4 (1759),essay,4,XLII,45
549,Volume 4 (1759),essay,3,XLII,61
550,Volume 4 (1759),essay,3,XXXVIII,21
551,Volume 4 (1759),essay,2,XLII,14
552,Volume 4 (1759),essay,2,XXXVIII,6
553,Volume 4 (1759),essay,2,XLI,29
554,Volume 4 (1759),essay,2,XLI,32
555,Volume 4 (1759),essay,2,XLII,0
556,Volume 4 (1759),essay,2,XLII,4
557,Volume 4 (1759),essay,2,XXXVIII,0
558,Volume 4 (1759),essay,2,XLII,36
559,Volume 4 (1759),essay,2,XLII,39
560,Volume 4 (1759),essay,2,XL,82
561,Volume 4 (1759),essay,2,XLIV,53
562,Volume 4 (1759),essay,2,APPENDIX III,19
563,Volume 4 (1759),essay,2,APPENDIX III,27
564,Volume 4 (1759),essay,2,XL,87
565,Volume 4 (1759),essay,2,XLI,6
566,Volume 4 (1759),essay,2,XXXIX,27
567,Volume 4 (1759),essay,2,XXXVIII,15
568,Volume 4 (1759),essay,2,XL,29
