,volume,genre,left,right,burst_len,volume_number,add_to_paragraph_number,full_paragraph_number,chapter,chapter_start,start_in_chapter
91,Volume 1 (1762),essay,85,85,1,0,0,85,II,77,8
92,Volume 1 (1762),essay,385,385,1,0,0,385,VI,366,19
93,Volume 1 (1762),essay,388,388,1,0,0,388,VI,366,22
94,Volume 1 (1762),essay,400,400,1,0,0,400,VI,366,34
95,Volume 1 (1762),essay,77,77,1,0,0,77,II,77,0
96,Volume 1 (1762),essay,58,58,1,0,0,58,I,0,58
97,Volume 1 (1762),essay,475,475,1,0,0,475,VIII ,426,49
98,Volume 1 (1762),essay,0,0,1,0,0,0,I,0,0
99,Volume 1 (1762),political discourses,248,262,15,0,0,248,APPENDIX I,238,10
100,Volume 1 (1762),political discourses,646,657,12,0,0,646,XI,578,68
101,Volume 1 (1762),political discourses,5,15,11,0,0,5,I,0,5
102,Volume 1 (1762),political discourses,269,275,7,0,0,269,APPENDIX I,238,31
103,Volume 1 (1762),political discourses,278,284,7,0,0,278,APPENDIX I,238,40
104,Volume 1 (1762),political discourses,506,511,6,0,0,506,IX,478,28
105,Volume 1 (1762),political discourses,660,664,5,0,0,660,APPENDIX II,648,12
106,Volume 1 (1762),political discourses,704,707,4,0,0,704,APPENDIX II,648,56
107,Volume 1 (1762),political discourses,17,20,4,0,0,17,I,0,17
108,Volume 1 (1762),political discourses,22,25,4,0,0,22,I,0,22
109,Volume 1 (1762),political discourses,264,267,4,0,0,264,APPENDIX I,238,26
110,Volume 1 (1762),political discourses,682,685,4,0,0,682,APPENDIX II,648,34
111,Volume 1 (1762),political discourses,673,676,4,0,0,673,APPENDIX II,648,25
112,Volume 1 (1762),political discourses,668,671,4,0,0,668,APPENDIX II,648,20
113,Volume 1 (1762),political discourses,425,427,3,0,0,425,VII,405,20
114,Volume 1 (1762),political discourses,332,334,3,0,0,332,IV,286,46
115,Volume 1 (1762),political discourses,241,243,3,0,0,241,APPENDIX I,238,3
116,Volume 1 (1762),political discourses,476,478,3,0,0,476,VIII ,426,50
117,Volume 1 (1762),political discourses,30,32,3,0,0,30,I,0,30
118,Volume 1 (1762),political discourses,700,702,3,0,0,700,APPENDIX II,648,52
119,Volume 1 (1762),political discourses,365,366,2,0,0,365,V,340,25
120,Volume 1 (1762),political discourses,352,353,2,0,0,352,V,340,12
121,Volume 1 (1762),political discourses,238,239,2,0,0,238,APPENDIX I,238,0
122,Volume 1 (1762),political discourses,544,545,2,0,0,544,X,538,6
123,Volume 1 (1762),political discourses,598,599,2,0,0,598,XI,578,20
124,Volume 1 (1762),political discourses,245,246,2,0,0,245,APPENDIX I,238,7
125,Volume 1 (1762),political discourses,532,533,2,0,0,532,IX,478,54
126,Volume 1 (1762),political discourses,1,2,2,0,0,1,I,0,1
127,Volume 1 (1762),political discourses,223,224,2,0,0,223,III,156,67
128,Volume 1 (1762),political discourses,108,109,2,0,0,108,II,77,31
129,Volume 1 (1762),political discourses,105,106,2,0,0,105,II,77,28
130,Volume 1 (1762),political discourses,69,70,2,0,0,69,I,0,69
131,Volume 1 (1762),political discourses,82,83,2,0,0,82,II,77,5
132,Volume 1 (1762),political discourses,141,142,2,0,0,141,II,77,64
133,Volume 1 (1762),political discourses,606,606,1,0,0,606,XI,578,28
134,Volume 1 (1762),political discourses,527,527,1,0,0,527,IX,478,49
135,Volume 1 (1762),political discourses,530,530,1,0,0,530,IX,478,52
136,Volume 1 (1762),political discourses,558,558,1,0,0,558,X,538,20
137,Volume 1 (1762),political discourses,574,574,1,0,0,574,X,538,36
138,Volume 1 (1762),political discourses,576,576,1,0,0,576,X,538,38
139,Volume 1 (1762),political discourses,85,85,1,0,0,85,II,77,8
140,Volume 1 (1762),political discourses,604,604,1,0,0,604,XI,578,26
141,Volume 1 (1762),political discourses,631,631,1,0,0,631,XI,578,53
142,Volume 1 (1762),political discourses,629,629,1,0,0,629,XI,578,51
143,Volume 1 (1762),political discourses,518,518,1,0,0,518,IX,478,40
144,Volume 1 (1762),political discourses,633,633,1,0,0,633,XI,578,55
145,Volume 1 (1762),political discourses,77,77,1,0,0,77,II,77,0
146,Volume 1 (1762),political discourses,67,67,1,0,0,67,I,0,67
147,Volume 1 (1762),political discourses,678,678,1,0,0,678,APPENDIX II,648,30
148,Volume 1 (1762),political discourses,35,35,1,0,0,35,I,0,35
149,Volume 1 (1762),political discourses,688,688,1,0,0,688,APPENDIX II,648,40
150,Volume 1 (1762),political discourses,691,691,1,0,0,691,APPENDIX II,648,43
151,Volume 1 (1762),political discourses,28,28,1,0,0,28,I,0,28
152,Volume 1 (1762),political discourses,520,520,1,0,0,520,IX,478,42
153,Volume 1 (1762),political discourses,514,514,1,0,0,514,IX,478,36
154,Volume 1 (1762),political discourses,179,179,1,0,0,179,III,156,23
155,Volume 1 (1762),political discourses,111,111,1,0,0,111,II,77,34
156,Volume 1 (1762),political discourses,171,171,1,0,0,171,III,156,15
157,Volume 1 (1762),political discourses,166,166,1,0,0,166,III,156,10
158,Volume 1 (1762),political discourses,164,164,1,0,0,164,III,156,8
159,Volume 1 (1762),political discourses,162,162,1,0,0,162,III,156,6
160,Volume 1 (1762),political discourses,297,297,1,0,0,297,IV,286,11
161,Volume 1 (1762),political discourses,308,308,1,0,0,308,IV,286,22
162,Volume 1 (1762),political discourses,324,324,1,0,0,324,IV,286,38
163,Volume 1 (1762),political discourses,149,149,1,0,0,149,II,77,72
164,Volume 1 (1762),political discourses,338,338,1,0,0,338,IV,286,52
165,Volume 1 (1762),political discourses,134,134,1,0,0,134,II,77,57
166,Volume 1 (1762),political discourses,355,355,1,0,0,355,V,340,15
167,Volume 1 (1762),political discourses,130,130,1,0,0,130,II,77,53
168,Volume 1 (1762),political discourses,402,402,1,0,0,402,VI,366,36
169,Volume 1 (1762),political discourses,404,404,1,0,0,404,VI,366,38
170,Volume 1 (1762),political discourses,415,415,1,0,0,415,VII,405,10
171,Volume 1 (1762),political discourses,419,419,1,0,0,419,VII,405,14
172,Volume 1 (1762),political discourses,124,124,1,0,0,124,II,77,47
173,Volume 1 (1762),political discourses,429,429,1,0,0,429,VIII ,426,3
174,Volume 1 (1762),political discourses,448,448,1,0,0,448,VIII ,426,22
175,Volume 1 (1762),political discourses,451,451,1,0,0,451,VIII ,426,25
176,Volume 1 (1762),political discourses,115,115,1,0,0,115,II,77,38
177,Volume 1 (1762),political discourses,348,348,1,0,0,348,V,340,8
178,Volume 1 (1762),treatise,264,264,1,0,0,264,APPENDIX I,238,26
179,Volume 2 (1762),dissertation,624,626,3,1,708,1332,XX,1285,47
180,Volume 2 (1762),dissertation,88,88,1,1,708,796,XII,708,88
181,Volume 2 (1762),dissertation,486,486,1,1,708,1194,XVII,1132,62
182,Volume 2 (1762),dissertation,490,490,1,1,708,1198,XVII,1132,66
183,Volume 2 (1762),dissertation,600,600,1,1,708,1308,XX,1285,23
184,Volume 2 (1762),dissertation,609,609,1,1,708,1317,XX,1285,32
185,Volume 2 (1762),enquiry,490,490,1,1,708,1198,XVII,1132,66
186,Volume 2 (1762),enquiry,568,568,1,1,708,1276,XIX,1239,37
187,Volume 2 (1762),enquiry,580,580,1,1,708,1288,XX,1285,3
188,Volume 2 (1762),enquiry,601,601,1,1,708,1309,XX,1285,24
189,Volume 2 (1762),enquiry,622,622,1,1,708,1330,XX,1285,45
190,Volume 2 (1762),enquiry,624,624,1,1,708,1332,XX,1285,47
191,Volume 2 (1762),enquiry,626,626,1,1,708,1334,XX,1285,49
192,Volume 2 (1762),enquiry,778,778,1,1,708,1486,XXIII,1455,31
193,Volume 2 (1762),essay,781,785,5,1,708,1489,XXIII,1455,34
194,Volume 2 (1762),essay,239,242,4,1,708,947,XIV,912,35
195,Volume 2 (1762),essay,776,779,4,1,708,1484,XXIII,1455,29
196,Volume 2 (1762),essay,599,602,4,1,708,1307,XX,1285,22
197,Volume 2 (1762),essay,624,627,4,1,708,1332,XX,1285,47
198,Volume 2 (1762),essay,614,616,3,1,708,1322,XX,1285,37
199,Volume 2 (1762),essay,566,568,3,1,708,1274,XIX,1239,35
200,Volume 2 (1762),essay,98,100,3,1,708,806,XII,708,98
201,Volume 2 (1762),essay,485,486,2,1,708,1193,XVII,1132,61
202,Volume 2 (1762),essay,388,389,2,1,708,1096,XVI,1050,46
203,Volume 2 (1762),essay,579,580,2,1,708,1287,XX,1285,2
204,Volume 2 (1762),essay,605,606,2,1,708,1313,XX,1285,28
205,Volume 2 (1762),essay,321,322,2,1,708,1029,XV,961,68
206,Volume 2 (1762),essay,621,622,2,1,708,1329,XX,1285,44
207,Volume 2 (1762),essay,490,491,2,1,708,1198,XVII,1132,66
208,Volume 2 (1762),essay,87,88,2,1,708,795,XII,708,87
209,Volume 2 (1762),essay,644,644,1,1,708,1352,XX,1285,67
210,Volume 2 (1762),essay,518,518,1,1,708,1226,XVIII,1208,18
211,Volume 2 (1762),essay,789,789,1,1,708,1497,XXIII,1455,42
212,Volume 2 (1762),essay,521,521,1,1,708,1229,XVIII,1208,21
213,Volume 2 (1762),essay,524,524,1,1,708,1232,XVIII,1208,24
214,Volume 2 (1762),essay,527,527,1,1,708,1235,XVIII,1208,27
215,Volume 2 (1762),essay,532,532,1,1,708,1240,XIX,1239,1
216,Volume 2 (1762),essay,539,539,1,1,708,1247,XIX,1239,8
217,Volume 2 (1762),essay,749,749,1,1,708,1457,XXIII,1455,2
218,Volume 2 (1762),essay,571,571,1,1,708,1279,XIX,1239,40
219,Volume 2 (1762),essay,731,731,1,1,708,1439,XXII,1402,37
220,Volume 2 (1762),essay,700,700,1,1,708,1408,XXII,1402,6
221,Volume 2 (1762),essay,654,654,1,1,708,1362,XXI,1359,3
222,Volume 2 (1762),essay,609,609,1,1,708,1317,XX,1285,32
223,Volume 2 (1762),essay,651,651,1,1,708,1359,XXI,1359,0
224,Volume 2 (1762),essay,612,612,1,1,708,1320,XX,1285,35
225,Volume 2 (1762),essay,0,0,1,1,708,708,XII,708,0
226,Volume 2 (1762),essay,483,483,1,1,708,1191,XVII,1132,59
227,Volume 2 (1762),essay,497,497,1,1,708,1205,XVII,1132,73
228,Volume 2 (1762),essay,4,4,1,1,708,712,XII,708,4
229,Volume 2 (1762),essay,17,17,1,1,708,725,XII,708,17
230,Volume 2 (1762),essay,20,20,1,1,708,728,XII,708,20
231,Volume 2 (1762),essay,90,90,1,1,708,798,XII,708,90
232,Volume 2 (1762),essay,114,114,1,1,708,822,XIII,812,10
233,Volume 2 (1762),essay,165,165,1,1,708,873,XIII,812,61
234,Volume 2 (1762),essay,169,169,1,1,708,877,XIII,812,65
235,Volume 2 (1762),essay,186,186,1,1,708,894,XIII,812,82
236,Volume 2 (1762),essay,189,189,1,1,708,897,XIII,812,85
237,Volume 2 (1762),essay,206,206,1,1,708,914,XIV,912,2
238,Volume 2 (1762),essay,222,222,1,1,708,930,XIV,912,18
239,Volume 2 (1762),essay,277,277,1,1,708,985,XV,961,24
240,Volume 2 (1762),essay,282,282,1,1,708,990,XV,961,29
241,Volume 2 (1762),essay,303,303,1,1,708,1011,XV,961,50
242,Volume 2 (1762),essay,333,333,1,1,708,1041,XV,961,80
243,Volume 2 (1762),essay,341,341,1,1,708,1049,XV,961,88
244,Volume 2 (1762),essay,357,357,1,1,708,1065,XVI,1050,15
245,Volume 2 (1762),essay,371,371,1,1,708,1079,XVI,1050,29
246,Volume 2 (1762),essay,375,375,1,1,708,1083,XVI,1050,33
247,Volume 2 (1762),essay,403,403,1,1,708,1111,XVI,1050,61
248,Volume 2 (1762),essay,419,419,1,1,708,1127,XVI,1050,77
249,Volume 2 (1762),essay,422,422,1,1,708,1130,XVI,1050,80
250,Volume 2 (1762),essay,432,432,1,1,708,1140,XVII,1132,8
251,Volume 2 (1762),essay,447,447,1,1,708,1155,XVII,1132,23
252,Volume 2 (1762),essay,791,791,1,1,708,1499,XXIII,1455,44
253,Volume 2 (1762),political discourses,779,788,10,1,708,1487,XXIII,1455,32
254,Volume 2 (1762),political discourses,414,421,8,1,708,1122,XVI,1050,72
255,Volume 2 (1762),political discourses,98,103,6,1,708,806,XII,708,98
256,Volume 2 (1762),political discourses,247,251,5,1,708,955,XIV,912,43
257,Volume 2 (1762),political discourses,197,201,5,1,708,905,XIII,812,93
258,Volume 2 (1762),political discourses,409,412,4,1,708,1117,XVI,1050,67
259,Volume 2 (1762),political discourses,527,530,4,1,708,1235,XVIII,1208,27
260,Volume 2 (1762),political discourses,90,93,4,1,708,798,XII,708,90
261,Volume 2 (1762),political discourses,242,245,4,1,708,950,XIV,912,38
262,Volume 2 (1762),political discourses,496,499,4,1,708,1204,XVII,1132,72
263,Volume 2 (1762),political discourses,163,165,3,1,708,871,XIII,812,59
264,Volume 2 (1762),political discourses,431,433,3,1,708,1139,XVII,1132,7
265,Volume 2 (1762),political discourses,399,401,3,1,708,1107,XVI,1050,57
266,Volume 2 (1762),political discourses,395,397,3,1,708,1103,XVI,1050,53
267,Volume 2 (1762),political discourses,117,119,3,1,708,825,XIII,812,13
268,Volume 2 (1762),political discourses,189,191,3,1,708,897,XIII,812,85
269,Volume 2 (1762),political discourses,574,576,3,1,708,1282,XIX,1239,43
270,Volume 2 (1762),political discourses,692,693,2,1,708,1400,XXI,1359,41
271,Volume 2 (1762),political discourses,447,448,2,1,708,1155,XVII,1132,23
272,Volume 2 (1762),political discourses,282,283,2,1,708,990,XV,961,29
273,Volume 2 (1762),political discourses,403,404,2,1,708,1111,XVI,1050,61
274,Volume 2 (1762),political discourses,688,689,2,1,708,1396,XXI,1359,37
275,Volume 2 (1762),political discourses,373,374,2,1,708,1081,XVI,1050,31
276,Volume 2 (1762),political discourses,571,572,2,1,708,1279,XIX,1239,40
277,Volume 2 (1762),political discourses,138,139,2,1,708,846,XIII,812,34
278,Volume 2 (1762),political discourses,604,605,2,1,708,1312,XX,1285,27
279,Volume 2 (1762),political discourses,95,96,2,1,708,803,XII,708,95
280,Volume 2 (1762),political discourses,550,550,1,1,708,1258,XIX,1239,19
281,Volume 2 (1762),political discourses,485,485,1,1,708,1193,XVII,1132,61
282,Volume 2 (1762),political discourses,667,667,1,1,708,1375,XXI,1359,16
283,Volume 2 (1762),political discourses,654,654,1,1,708,1362,XXI,1359,3
284,Volume 2 (1762),political discourses,649,649,1,1,708,1357,XX,1285,72
285,Volume 2 (1762),political discourses,700,700,1,1,708,1408,XXII,1402,6
286,Volume 2 (1762),political discourses,464,464,1,1,708,1172,XVII,1132,40
287,Volume 2 (1762),political discourses,489,489,1,1,708,1197,XVII,1132,65
288,Volume 2 (1762),political discourses,428,428,1,1,708,1136,XVII,1132,4
289,Volume 2 (1762),political discourses,493,493,1,1,708,1201,XVII,1132,69
290,Volume 2 (1762),political discourses,602,602,1,1,708,1310,XX,1285,25
291,Volume 2 (1762),political discourses,518,518,1,1,708,1226,XVIII,1208,18
292,Volume 2 (1762),political discourses,521,521,1,1,708,1229,XVIII,1208,21
293,Volume 2 (1762),political discourses,524,524,1,1,708,1232,XVIII,1208,24
294,Volume 2 (1762),political discourses,539,539,1,1,708,1247,XIX,1239,8
295,Volume 2 (1762),political discourses,776,776,1,1,708,1484,XXIII,1455,29
296,Volume 2 (1762),political discourses,0,0,1,1,708,708,XII,708,0
297,Volume 2 (1762),political discourses,423,423,1,1,708,1131,XVI,1050,81
298,Volume 2 (1762),political discourses,193,193,1,1,708,901,XIII,812,89
299,Volume 2 (1762),political discourses,14,14,1,1,708,722,XII,708,14
300,Volume 2 (1762),political discourses,24,24,1,1,708,732,XII,708,24
301,Volume 2 (1762),political discourses,30,30,1,1,708,738,XII,708,30
302,Volume 2 (1762),political discourses,34,34,1,1,708,742,XII,708,34
303,Volume 2 (1762),political discourses,37,37,1,1,708,745,XII,708,37
304,Volume 2 (1762),political discourses,49,49,1,1,708,757,XII,708,49
305,Volume 2 (1762),political discourses,57,57,1,1,708,765,XII,708,57
306,Volume 2 (1762),political discourses,75,75,1,1,708,783,XII,708,75
307,Volume 2 (1762),political discourses,87,87,1,1,708,795,XII,708,87
308,Volume 2 (1762),political discourses,114,114,1,1,708,822,XIII,812,10
309,Volume 2 (1762),political discourses,146,146,1,1,708,854,XIII,812,42
310,Volume 2 (1762),political discourses,240,240,1,1,708,948,XIV,912,36
311,Volume 2 (1762),political discourses,406,406,1,1,708,1114,XVI,1050,64
312,Volume 2 (1762),political discourses,255,255,1,1,708,963,XV,961,2
313,Volume 2 (1762),political discourses,276,276,1,1,708,984,XV,961,23
314,Volume 2 (1762),political discourses,298,298,1,1,708,1006,XV,961,45
315,Volume 2 (1762),political discourses,316,316,1,1,708,1024,XV,961,63
316,Volume 2 (1762),political discourses,322,322,1,1,708,1030,XV,961,69
317,Volume 2 (1762),political discourses,343,343,1,1,708,1051,XVI,1050,1
318,Volume 2 (1762),political discourses,359,359,1,1,708,1067,XVI,1050,17
319,Volume 2 (1762),political discourses,364,364,1,1,708,1072,XVI,1050,22
320,Volume 2 (1762),political discourses,371,371,1,1,708,1079,XVI,1050,29
321,Volume 2 (1762),political discourses,4,4,1,1,708,712,XII,708,4
322,Volume 2 (1762),political discourses,377,377,1,1,708,1085,XVI,1050,35
323,Volume 2 (1762),political discourses,790,790,1,1,708,1498,XXIII,1455,43
324,Volume 3 (1759),dissertation,704,706,3,2,1500,2204,XXXVII,2193,11
325,Volume 3 (1759),dissertation,694,696,3,2,1500,2194,XXXVII,2193,1
326,Volume 3 (1759),dissertation,395,397,3,2,1500,1895,XXXI,1847,48
327,Volume 3 (1759),dissertation,699,700,2,2,1500,2199,XXXVII,2193,6
328,Volume 3 (1759),dissertation,347,348,2,2,1500,1847,XXXI,1847,0
329,Volume 3 (1759),dissertation,376,377,2,2,1500,1876,XXXI,1847,29
330,Volume 3 (1759),dissertation,410,411,2,2,1500,1910,XXXI,1847,63
331,Volume 3 (1759),dissertation,454,455,2,2,1500,1954,XXXII,1920,34
332,Volume 3 (1759),dissertation,575,576,2,2,1500,2075,XXXIV,2038,37
333,Volume 3 (1759),dissertation,550,550,1,2,1500,2050,XXXIV,2038,12
334,Volume 3 (1759),dissertation,623,623,1,2,1500,2123,XXXV,2096,27
335,Volume 3 (1759),dissertation,621,621,1,2,1500,2121,XXXV,2096,25
336,Volume 3 (1759),dissertation,595,595,1,2,1500,2095,XXXIV,2038,57
337,Volume 3 (1759),dissertation,211,211,1,2,1500,1711,XXVIII,1676,35
338,Volume 3 (1759),dissertation,544,544,1,2,1500,2044,XXXIV,2038,6
339,Volume 3 (1759),dissertation,469,469,1,2,1500,1969,XXXII,1920,49
340,Volume 3 (1759),dissertation,227,227,1,2,1500,1727,XXIX,1715,12
341,Volume 3 (1759),dissertation,427,427,1,2,1500,1927,XXXII,1920,7
342,Volume 3 (1759),dissertation,421,421,1,2,1500,1921,XXXII,1920,1
343,Volume 3 (1759),dissertation,355,355,1,2,1500,1855,XXXI,1847,8
344,Volume 3 (1759),dissertation,230,230,1,2,1500,1730,XXIX,1715,15
345,Volume 3 (1759),dissertation,466,466,1,2,1500,1966,XXXII,1920,46
346,Volume 3 (1759),enquiry,704,706,3,2,1500,2204,XXXVII,2193,11
347,Volume 3 (1759),enquiry,174,174,1,2,1500,1674,XXVII,1626,48
348,Volume 3 (1759),enquiry,218,218,1,2,1500,1718,XXIX,1715,3
349,Volume 3 (1759),enquiry,281,281,1,2,1500,1781,XXIX,1715,66
350,Volume 3 (1759),enquiry,318,318,1,2,1500,1818,XXX,1786,32
351,Volume 3 (1759),enquiry,378,378,1,2,1500,1878,XXXI,1847,31
352,Volume 3 (1759),enquiry,397,397,1,2,1500,1897,XXXI,1847,50
353,Volume 3 (1759),enquiry,411,411,1,2,1500,1911,XXXI,1847,64
354,Volume 3 (1759),enquiry,427,427,1,2,1500,1927,XXXII,1920,7
355,Volume 3 (1759),enquiry,470,470,1,2,1500,1970,XXXII,1920,50
356,Volume 3 (1759),enquiry,517,517,1,2,1500,2017,XXXIII,1971,46
357,Volume 3 (1759),enquiry,697,697,1,2,1500,2197,XXXVII,2193,4
358,Volume 3 (1759),enquiry,699,699,1,2,1500,2199,XXXVII,2193,6
359,Volume 3 (1759),enquiry,737,737,1,2,1500,2237,XXXVII,2193,44
360,Volume 3 (1759),essay,215,224,10,2,1500,1715,XXIX,1715,0
361,Volume 3 (1759),essay,699,706,8,2,1500,2199,XXXVII,2193,6
362,Volume 3 (1759),essay,376,379,4,2,1500,1876,XXXI,1847,29
363,Volume 3 (1759),essay,229,232,4,2,1500,1729,XXIX,1715,14
364,Volume 3 (1759),essay,347,350,4,2,1500,1847,XXXI,1847,0
365,Volume 3 (1759),essay,135,138,4,2,1500,1635,XXVII,1626,9
366,Volume 3 (1759),essay,547,549,3,2,1500,2047,XXXIV,2038,9
367,Volume 3 (1759),essay,397,399,3,2,1500,1897,XXXI,1847,50
368,Volume 3 (1759),essay,409,411,3,2,1500,1909,XXXI,1847,62
369,Volume 3 (1759),essay,454,456,3,2,1500,1954,XXXII,1920,34
370,Volume 3 (1759),essay,465,467,3,2,1500,1965,XXXII,1920,45
371,Volume 3 (1759),essay,293,295,3,2,1500,1793,XXX,1786,7
372,Volume 3 (1759),essay,715,717,3,2,1500,2215,XXXVII,2193,22
373,Volume 3 (1759),essay,109,111,3,2,1500,1609,XXVI,1579,30
374,Volume 3 (1759),essay,555,556,2,2,1500,2055,XXXIV,2038,17
