full link,volume,chapter,chapter number,pages,text
"Vol 1, IX HENRY II p. 344-345",1,,IX,244-345,"The low state of commerce and industry, during those ages, made it impracticable for princes to support regular armies, which might retain a conquered country in subjection; and the extreme barbarism and poverty of Ireland could still less afford means of bearing the expence. The only expedient, by which a durable conquest could then be made or maintained, was by pouring in a multitude of new inhabitants, dividing among them the lands of the vanquished, establishing them in all offices of trust and authority, and thereby transforming the ancient inhabitants into a new people. By this policy, the northern invaders of old, and of late the duke of Normandy, had been able to fix their dominions, and to erect kingdoms, which remained stable on their foundations, and were transmitted to the posterity of the first conquerors. But the state of Ireland rendered that island so little inviting to the English, that only a few of desperate fortunes could be persuaded, from time to time, to transport themselves thither;^m[14] and instead of reclaiming the natives from their uncultivated manners, they were gradually assimilated to the antient inhabitants, and degenerated from the customs of their own nation. It was also found requisite to bestow great military and arbitrary powers on the leaders, who commanded a handful of men amidst such hostile multitudes; and law and equity, in a little time, became as much unknown in the English settlements as they had ever been among the Irish tribes. Palatinates were erected in favour of the new adventurers; independant authority conferred; the natives, never fully subdued, still retained their animosity against the conquerors; their hatred was retaliated by like injuries; and from these causes, the Irish, during the course of four centuries, remained still savage and untractable: It was not till the latter end of Elizabeth's reign, that the island was fully subdued; nor till that of her successor, that it gave hopes of becoming a useful conquest to the English nation."
Vol. 1 XI JOHN p. 437-438,1,,XI,437-438,"The introduction of the feudal law into England by William the Conqueror had much infringed the liberties, however imperfect, enjoyed by the Anglo-Saxons in their ancient government, and had reduced the whole people to a state of vassalage under the king or barons, and even the greater part of them to a state of real slavery. The necessity also of entrusting great power in the hands of a prince, who was to maintain military dominion over a vanquished nation, had engaged the Norman barons to submit to a more severe and absolute prerogative than that to which men of their rank, in other feudal governments, were commonly subjected. The power of the crown, once raised to a high pitch, was not easily reduced; and the nation, during the course of a hundred and fifty years, 〈〈was governed by an authority〉〉{Ia(1762), 382.3: 〈〈had groaned under a tyranny〉〉}†[9], unknown, [in the same degree]{Ia: [ ]}†[10], to all the kingdoms founded by the northern conquerors. Henry I. that he might allure the people to give an exclusion to his elder brother Robert, had granted them a charter, favourable in many particulars to their liberties; Stephen had renewed the grant; Henry II. had confirmed it: But the concessions of all these princes had still remained without effect; and the same unlimited, at least irregular authority, continued to be exercised both by them and their successors. The only happiness was, that arms were never yet ravished from the hands of the barons and people: The nation, by a great confederacy, might still vindicate its liberties: And nothing was more likely, than the character, conduct, and fortunes of the reigning prince, to produce such a general combination against him. Equally odious and contemptible, both in public and private life, he affronted the barons by his insolence, dishonoured their families by his gallantries, enraged them by his tyranny, and gave discontent to all ranks of men by his endless exactions and impositions.^a[69] The effect of these lawless practices had already appeared in the general demand made by the barons of a restoration of their privileges; and after he had reconciled himself to the pope, by abandoning the independance of the kingdom, he appeared 〈〈to all his subjects〉〉{Ia(1762), 382.20: 〈〈to all the world〉〉}†[11] in so mean a light, that they universally thought they might with safety and honour insist upon their pretensions."
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-456,"THE FEUDAL LAW is the chief foundation, both of the political government and of the jurisprudence, established by the Normans in England. Our subject therefore requires, that we should form a just idea of this law, in order to explain the state, as well of that kingdom, as of all other kingdoms of Europe, which, during those ages, were governed by similar institutions. And though I am sensible, that I must here repeat many observations and reflections, which have been communicated by others;^m[1] yet, as every book, agreeably to the observation of a great historian,^n[2] should be as complete as possible within itself, and should never refer, for any thing material, to other books, it will be necessary, in this place, to deliver a short plan of that prodigious fabric, which, for several centuries, preserved such a mixture of liberty and oppression, order and anarchy, stability and revolution, as was never experienced in any other age or any other part of the world."
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-457,"The German governments, being more a confederacy of independant warriors, than a civil subjection, derived their principal force from many inferior and voluntary associations, which individuals formed under a particular head or chieftain, and which it became the highest point of honour to maintain with inviolable fidelity. The glory of the chief consisted in the number, the bravery, and the zealous attachment of his retainers: The duty of the retainers required, that they should accompany their chief in all wars and dangers, that they should fight and perish by his side, and that they should esteem his renown or his favour a sufficient recompence for all their services.^o[3] The prince himself was nothing but a great chieftain, who was chosen from among the rest, on account of his superior valour or nobility; and who derived his power from the voluntary association or attachment of the other chieftains."
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-458,"During this precarious state of the supreme power, a difference would immediately be experienced between those portions of territory which were subjected to the feudal tenures, and those which were possessed by an allodial or free title. Though the latter possessions had at first been esteemed much preferable, they were soon found, by the progressive changes introduced into public and private law, to be of an inferior condition to the former. The possessors of a feudal territory, united by a regular subordination under one chief, and by the mutual attachments of the vassals, had the same advantages over the proprietors of the other, that a disciplined army enjoys over a dispersed multitude; and were enabled to commit with impunity all injuries on their defenceless neighbours. Every one, therefore, hastened to seek that protection which he found so necessary; and each allodial proprietor, resigning his possessions into the hands of the king, or of some nobleman respected for power or valour, received them back with the condition of feudal services;^q[5] which, though a burden somewhat grievous, brought him ample compensation, by connecting him with the neighbouring proprietors, and placing him under the guardianship of a potent chieftain. The decay of the political government thus necessarily occasioned the extension of the feudal: The kingdoms of Europe were universally divided into baronies, and these into inferior fiefs: And the attachment of vassals to their chief, which was at first an essential part of the German manners, was still supported by the same causes from which it at first arose; the necessity of mutual protection, and the continued intercourse, between the head and the members, of benefits and services."
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-459,"The northern nations had no idea, that any man, trained up to honour, and enured to arms, was ever to be governed, without his own consent, by the absolute will of another; or that the administration of justice was ever to be exercised by the private opinion of any one magistrate, without the concurrence of some other persons, whose interest might induce them to check his arbitrary and iniquitous decisions. The king, therefore, when he found it necessary to demand any service of his barons or chief tenants, beyond what was due by their tenures, was obliged to assemble them, in order to obtain their consent: And when it was necessary to determine any controversy, which might arise among the barons themselves, the question must be discussed in their presence, and be decided according to their opinion or advice. In these two circumstances of consent and advice, consisted chiefly the civil services of the ancient barons; and these implied all the considerable incidents of government. In one view, the barons regarded this attendance as their principal privilege; in another, as a grievous burden. That no momentous affairs could be transacted without their consent and advice, was in general esteemed the great security of their possessions and dignities: But as they reaped no immediate profit"
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-460,"The greatest baron could never lose view entirely of those principles of the feudal constitution, which bound him, as a vassal, to submission and fealty towards his prince; because he was every moment obliged to have recourse to those principles, in exacting fealty and submission from his own vassals. The lesser barons, finding that the annihilation of royal authority left them exposed without protection to the insults and injuries of more potent neighbours, naturally adhered to the crown, and promoted the execution of general and equal laws. The people had still a stronger interest to desire the grandeur of the sovereign; and the king, being the legal magistrate, who suffered by every internal convulsion or oppression, and who regarded the great nobles as his immediate rivals, assumed the salutary office of general guardian or protector of the commons. Besides the prerogatives, with which the law invested him; his large demesnes and numerous retainers rendered him, in one sense, the greatest baron in his kingdom; and where he was possessed of personal vigour and abilities (for his situation required these advantages) he was commonly able to preserve his authority, and maintain his station as head of the community, and the chief fountain of law and justice."
Vol. 1 APPENDIX II THE FEUDAL AND ANGLO-NORMAN GOVERNMENT AND MANNERS p. 455-456,1,,APPENDIX II,p. 455-461,"In ancient times, men were little solicitous to obtain a place in the legislative assemblies; and rather regarded their attendance as a burden, which was not compensated by any return of profit or honour, proportionate to the trouble and expence. The only reason for instituting those public councils, was; on the part of the subject, that they desired some security from the attempts of arbitrary power; and on the part of the sovereign, that he despaired of governing men of such independant spirits without their own consent and concurrence. But the commons, or the inhabitants of boroughs, had not as yet reached such a degree of consideration, as to desire security against their prince, or to imagine, that, even if they were assembled in a representative body, they had power or rank sufficient to enforce it. The only protection, which they aspired to, was against the immediate violence and injustice of their fellow-citizens; and this advantage each of them looked for, from the courts of justice, or from the authority of some great lord, to whom, by law or his own choice, he was attached. On the other hand, the sovereign was sufficiently assured of obedience in the whole community, if he procured the concurrence of the nobles; nor had he reason to apprehend, that any order of the state could resist his and their united authority. The military sub-vassals could entertain no idea of opposing both their prince and their superiors: The burgesses and tradesmen could much less aspire to such a thought: And thus, even if history were silent on the head, we have reason to conclude, from the known situation of society during those ages, that the commons were never admitted as members of the legislative body."
"Vol 2, XII",2,HENRY III,XII,P. 3-4,"MOST SCIENCES, in proportion as they encrease and improve, invent methods by which they facilitate their reasonings; and employing general theorems, are enabled to comprehend in a few propositions a great number of inferences and conclusions. History also, being a collection of facts which are multiplying without end, is obliged to adopt such arts of abridgment, to retain the more material events, and to drop all the minute circumstances, which are only interesting during the time, or to the persons engaged in the transactions. This truth is no where more evident than with regard to the reign, upon which we are going to enter. What mortal could have the patience to write or read a long detail of such frivolous events as those with which it is filled, or attend to a tedious narrative which would follow, through a series of fifty-six years, the caprices and weaknesses of so mean a prince as Henry? The chief reason, why protestant writers have been so anxious to spread out the incidents of this reign, is in order to expose the rapacity, ambition, and artifices of the court of Rome, and to prove, that the great dignitaries of the catholic church, while they pretended to have nothing in view but the salvation of souls, had bent all their attention to the acquisition of riches, and were restrained by no sense of justice or of honour, in the pursuit of that great object.^a[1] But this conclusion would readily be allowed them, though it were not illustrated by such a detail of uninteresting incidents; and follows indeed, by an evident necessity, from the very situation, in which that church was placed with regard to the rest of Europe. For, besides that ecclesiastical power, as it can always cover its operations under a cloak of sanctity, and attacks men on the side where they dare not employ their reason, lies less under controul than civil government; besides this general cause, I say, the pope and his courtiers were foreigners to most of the churches which they governed; they could not possibly have any other object than to pillage the provinces for present gain; and as they lived at a distance, they would be little awed by shame or remorse, in employing every lucrative expedient, which was suggested to them. England being one of the most remote provinces attached to the Romish hierarchy, as well as the most prone to superstition, felt severely, during this reign, while its patience was not yet fully exhausted, the influence of these causes; and we shall often have occasion to touch cursorily upon such incidents. But we shall not attempt to comprehend every transaction transmitted to us; and till the end of the reign, when the events become more"
"Vol. 2, XIV",2,EDWARD II,XIV,P. 173,"It is not easy to imagine a man more innocent and inoffensive than the unhappy king, whose tragical death we have related; nor c a prince less fitted for governing that fierce and turbulent people, subjected to his authority. He was obliged to devolve on others the weight of government, which he had neither ability nor inclination to bear: The same indolence and want of penetration led him to make choice of ministers and favourites, who were not always the best qualified for the trust committed to them: The seditious grandees, pleased with his weakness, yet complaining of it; under pretence of attacking his ministers, insulted his person and invaded his authority: And the impatient populace, mistaking the source of their grievances, threw all the blame upon the king, and encreased the public disorders by their faction and violence. It was in vain to look for protection from the laws, whose voice, always feeble in those times, was not heard amidst the din of arms: What could not defend the king was less able to give shelter to any of the people: The whole machine of government was torne in pieces with fury and violence: And men, instead of regretting the manners of their age, and the form of their constitution, which required the most steady and most skilful hand to conduct them, imputed all errors to the person who had the misfortune to be entrusted with the reins of empire."
"Vol. 2, XIV",2,EDWARD II,XIV,P. 173-4,"But though such mistakes are natural and almost unavoidable while the events are recent, it is a shameful delusion in modern historians, to imagine, that all the ancient princes, who were unfortunate in their government, were also tyrannical in their conduct, and that the seditions of the people always proceeded from some invasion of their privileges by the monarch. Even a great and a good king was not in that age secure against faction and rebellion, as appears in the case of Henry II.; but a great king had the best chance, as we learn from the history of the same period, for quelling and subduing them. Compare the reigns and characters of Edward I. and II. The father made several violent attempts against the liberties of the people: His barons opposed him: He was obliged, at least found it prudent, to submit: But as they dreaded his valour and abilities, they were content with reasonable satisfaction, and pushed no farther their advantages against him. The facility and weakness of the son, not his violence, threw every thing into confusion: The laws and government were overturned: An attempt to reinstate them was an unpardonable crime: And no atonement, but the deposition and tragical death of the king himself, could give those barons contentment. It is easy to see, that a constitution, which depended so much on the personal character of the prince, must necessarily, in many of its parts, be a government of will, not of laws. But always to throw, without distinction, the blame of all disorders upon the sovereign, would introduce a fatal error in politics, and serve as a perpetual apology for treason and rebellion: As if the turbulence of the great, and madness of the people, were not, equally with the tyranny of princes, evils incident to human society, and no less carefully to be guarded against in every well regulated constitution."
"Vol. 2, XX",2,HENRY VI,XX,P. 398,"It is the business of history to distinguish between the miraculous and the marvellous; to reject the first in all narrations merely profane and human; to doubt the second; and when obliged by unquestionable testimony, as in the present case, to admit of something extraordinary, to receive as little of it as is consistent with the known facts and circumstances. It is pretended, that Joan, immediately on her admission, knew the king, though she had never seen his face before, and though he purposely kept himself in the crowd of courtiers, and had laid aside every thing in his dress and apparel which might distinguish him: That she offered him, in the name of the supreme Creator, to raise the siege of Orleans, and conduct him to Rheims to be there crowned and anointed; and on his expressing doubts of her mission, revealed to him, before some sworn confidents, a secret, which was unknown to all the world beside himself, and which nothing but a heavenly inspiration could have discovered to her: And that she demanded, as the"
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-519,"Thus have we pursued the history of England through a series of many barbarous ages; till we have at last reached the dawn of civility and sciences, and have the prospect, both of greater certainty in our historical narrations, and of being able to present to the reader a spectacle more worthy of his attention. The want of certainty, however, and of circumstances, is not alike to be complained of throughout every period of this long narration. This island possesses many ancient historians of good credit; as well as many historical monuments; and it is rare, that the annals of so uncultivated a people, as were the English as well as the other European nations, after the decline of Roman learning, have been transmitted to posterity so complete, and with so little mixture of falsehood and of fable. This advantage we owe entirely to the clergy of the church of Rome; who, founding their authority on their superior knowledge, preserved the precious literature of antiquity from a total extinction;{IIa(1762), 460.6 note}†[2]^s[22] and under shelter of their numerous privileges and immunities, acquired a security, by means of the superstition, which they would in vain have claimed, from the justice and humanity of those turbulent and licentious ages. Nor is the spectacle altogether unentertaining and uninstructive, which the history of those times presents to us. The view of human manners, in all their variety of appearances, is both profitable and agreeable; and if the aspect in some periods seems horrid and deformed, we may thence learn to cherish with the greater anxiety that science and civility, which has so close a connexion with virtue and humanity, and which, as it is a sovereign antidote against superstition, is also the most effectual remedy against vice and disorders of every kind."
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-520,"The rise, progress, perfection, and decline of art and science, are curious objects of contemplation, and intimately connected with a narration of civil transactions. The events of no particular period can be fully accounted for, but by considering the degrees of advancement, which men have reached in those particulars."
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-521,"Those who cast their eye on the general revolutions of society, will find, that, as almost all improvements of the human mind had reached nearly to their state of perfection about the age of Augustus, there was a sensible decline from that point or period; and man thenceforth relapsed gradually into ignorance and barbarism. The unlimited extent of the Roman empire, and the consequent despotism of its monarchs, extinguished all emulation, debased the generous spirits of men, and depressed that noble flame, by which all the refined arts must be cherished and enlivened. The military government, which soon succeeded, rendered even the lives and properties of men insecure and precarious; and proved destructive to those vulgar and more necessary arts of agriculture, manufactures, and commerce; and in the end, to the military art and genius itself, by which alone the immense fabric of the empire could be supported. The irruption of the barbarous nations, which soon followed, overwhelmed all human knowledge, which was already far in its decline; and men sunk every age deeper into ignorance, stupidity, and superstition; till the light of ancient science and history had very nearly suffered a total extinction in all the European nations."
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-522,"The gradual progress of improvement raised the Europeans somewhat above this uncultivated state; and affairs, in this island particularly, took early a turn, which was more favourable to justice and to liberty. Civil employments and occupations soon became honourable among the English: The situation of that people rendered not the perpetual attention to wars so necessary as among their neighbours, and all regard was not confined to the military profession: The gentry, and even the nobility, began to deem an acquaintance with the law a necessary part of education: They were less diverted than afterwards from studies of this kind by other sciences; and in the age of Henry VI. as we are told by Fortescue, there were in the inns of court about two thousand students, most of them men of honourable birth, who gave application to this branch of civil knowledge: A circumstance which proves, that a considerable progress was already made in the science of government, and which prognosticated a still greater."
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-523,"If we consider the ancient state of Europe, we shall find, that the far greater part of the society were every where bereaved of their personal liberty, and lived entirely at the will of their masters. Every one, that was not noble, was a slave: The peasants were sold along with the land: The few inhabitants of cities were not in a better condition: Even the gentry themselves were subjected to a long train of subordination under the greater barons or chief vassals of the crown; who, though seemingly placed in a high state of splendor, yet, having but a slender protection from law, were exposed to every tempest of the state, and by the precarious condition in which they lived, paid dearly for the power of oppressing and tyrannizing over their inferiors. The first incident, which broke in upon this violent system of government, was the practice, begun in Italy, and imitated in France, of erecting communities and corporations, endowed with privileges and a separate municipal government, which gave them protection against the tyranny of the barons, and which the prince himself deemed it prudent to"
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-524,"It may appear strange, that the progress of the arts, which seems, among the Greeks and Romans, to have daily encreased the number of slaves, should, in later times, have proved so general a source of liberty; but this difference in the events proceeded from a great difference in the circumstances, which attended those institutions. The ancient barons, obliged to maintain themselves continually in a military posture, and little emulous of elegance or splendor, employed not their villains as domestic servants, much less as manufacturers; but composed their retinue of free-men, whose military spirit rendered the chieftain formidable to his neighbours, and who were ready to attend him in every warlike enterprize. The villains were entirely occupied in the cultivation of their master's land, and paid their rents either in corn and cattle and other produce of the farm, or in servile offices, which they performed about the baron's family, and upon the farms which he retained in his own possession. In proportion as agriculture improved, and money encreased, it was found, that these services, though extremely burdensome to the villain, were of little advantage to the master; and that the produce of a large estate could be much more conveniently disposed of by the peasants themselves, who raised it, than by the landlord or his bailiff, who were formerly accustomed to receive it. A commutation was therefore made of"
"Vol. II, XXIII",2,EDWARD V AND RICHARD III,XXIII,P. 518-525,"The ancient Saxons, like the other German nations, where each individual was enured to arms, and where the independance of men was secured by a great equality of possessions, seem to have admitted a considerable mixture of democracy into their form of government, and to have been one of the freest nations, of which there remains any account in the records of history. After this tribe was settled in England, especially after the dissolution of the Heptarchy, the great extent of the kingdom produced a great inequality in property; and the balance seems to have inclined to the side of aristocracy. The Norman conquest threw more authority into the hands of the sovereign, which, however, admitted of great controul; though derived less from the general forms of the constitution, which were inaccurate and irregular, than from the independant"
