genre,title,word-count,paragraph-count
natural history,Section 12: With regard to Doubt or Conviction,3465,26
natural history,Section 13: Impious Conceptions of the Divine Nature in Popular Religions of both Kinds,1033,7
natural history,Section 14: Bad Influence of Popular Religions on Morality,1540,8
natural history,Section 15: General Corollary,941,13
treatise,SECTION I: OF THE ORIGIN OF OUR IDEAS,2091,12
treatise,SECTION II: DIVISION OF THE SUBJECT,300,1
treatise,SECTION III: OF THE IDEAS OF THE MEMORY AND IMAGINATION,549,4
treatise,SECTION IV: OF THE CONNEXION OR ASSOCIATION OF IDEAS,1123,7
treatise,SECTION V: OF RELATIONS,695,10
treatise,SECTION VI: OF MODES AND SUBSTANCES,507,3
treatise,SECTION VII: OF ABSTRACT IDEAS,3038,18
treatise,SECTION I: OF THE INFINITE DIVISIBILITY OF OUR IDEAS OF SPACE AND TIME,928,5
treatise,SECTION II: OF THE INFINITE DIVISIBILITY OF SPACE AND TIME,1353,10
treatise,SECTION III: OF THE OTHER QUALITIES OF OUR IDEAS OF SPACE AND TIME,2140,17
treatise,SECTION IV: OBJECTIONS ANSWERED,5324,34
treatise,SECTION V: THE SAME SUBJECT CONTINUED,4334,29
treatise,"SECTION VI: OF THE IDEAS OF EXISTENCE, AND OF EXTERNAL EXISTENCE",731,9
treatise,SECTION I: OF KNOWLEDGE,1371,7
treatise,"SECTION II: OF PROBABILITY, AND OF THE IDEA OF CAUSE AND EFFECT",1944,16
treatise,SECTION III: WHY A CAUSE IS ALWAYS NECESSARY,1380,9
treatise,SECTION IV: OF THE COMPONENT PARTS OF OUR REASONINGS CONCERNING CAUSE AND EFFECT,530,3
treatise,SECTION V: OF THE IMPRESSIONS OF THE SENSES AND MEMORY,1060,8
treatise,SECTION VI: OF THE INFERENCE FROM THE IMPRESSION TO THE IDEA,2623,16
treatise,SECTION VII: OF THE NATURE OF IDEA OR BELIEF,1718,8
treatise,SECTION VIII: OF THE CAUSES OF BELIEF,3025,17
treatise,SECTION IX: OF THE EFFECTS OF OTHER RELATIONS AND OTHER HABITS,3961,19
treatise,SECTION X: OF THE INFLUENCE OF BELIEF,2714,13
treatise,SECTION XI: OF THE PROBABILITY OF CHANCES,2292,13
treatise,SECTION XII: OF THE PROBABILITY OF CAUSES,4407,25
treatise,SECTION XIII: OF UNPHILOSOPHICAL PROBABILITY,4171,20
treatise,SECTION XIV: OF THE IDEA OF NECESSARY CONNEXION,6631,36
treatise,SECTION XV: RULES BY WHICH TO JUDGE OF CAUSES AND EFFECTS,969,12
treatise,SECTION XVI: OF THE REASON OF ANIMALS,1120,9
treatise,SECTION I: OF SCEPTICISM WITH REGARD TO REASON,2555,12
treatise,SECTION II: OF SCEPTICISM WITH REGARD TO THE SENSES,10772,57
treatise,SECTION III: OF THE ANCIENT PHILOSOPHY,2051,11
treatise,SECTION IV: OF THE MODERN PHILOSOPHY,2239,15
treatise,SECTION V: OF THE IMMATERIALITY OF THE SOUL,6661,35
treatise,SECTION VI: OF PERSONAL IDENTITY,4322,23
treatise,SECTION VII: CONCLUSION OF THIS BOOK,3756,15
treatise,SECTION I: DIVISION OF THE SUBJECT,575,4
treatise,SECTION II: OF PRIDE AND HUMILITY; THEIR OBJECTS AND CAUSES,989,6
treatise,SECTION III: WHENCE THESE OBJECTS AND CAUSES ARE DERIVED,910,7
treatise,SECTION IV: OF THE RELATIONS OF IMPRESSIONS AND IDEAS,751,5
treatise,SECTION V: OF THE INFLUENCE OF THESE RELATIONS ON PRIDE AND HUMILITY,1818,11
treatise,SECTION VI: LIMITATIONS OF THIS SYSTEM,1528,10
treatise,SECTION VII: OF VICE AND VIRTUE,1200,8
treatise,SECTION VIII: OF BEAUTY AND DEFORMITY,1757,9
treatise,SECTION IX: OF EXTERNAL ADVANTAGES AND DISADVANTAGES,2265,13
treatise,SECTION X: OF PROPERTY AND RICHES,2352,12
treatise,SECTION XI: OF THE LOVE OF FAME,2882,19
treatise,SECTION XII: OF THE PRIDE AND HUMILITY OF ANIMALS,1229,9
treatise,SECTION I: OF THE OBJECT AND CAUSES OF LOVE AND HATRED,1171,9
treatise,SECTION II: EXPERIMENTS TO CONFIRM THIS SYSTEM,5370,28
treatise,SECTION III: DIFFICULTIES SOLVED,1387,10
treatise,SECTION IV: OF THE LOVE OF RELATIONS,2121,13
treatise,SECTION V: OF OUR ESTEEM FOR THE RICH AND POWERFUL,2942,21
treatise,SECTION VI: OF BENEVOLENCE AND ANGER,909,6
treatise,SECTION VII: OF COMPASSION,1057,6
treatise,SECTION VIII: OF MALICE AND ENVY,3127,20
treatise,SECTION IX: OF THE MIXTURE OF BENEVOLENCE AND ANGER WITH COMPASSION AND MALICE,3038,20
treatise,SECTION X: OF RESPECT AND CONTEMPT,1436,10
treatise,"SECTION XI: OF THE AMOROUS PASSION, OR LOVE BETWIXT THE SEXES",1000,6
treatise,SECTION XII: OF THE LOVE AND HATRED OF ANIMALS,651,8
treatise,SECTION I: OF LIBERTY AND NECESSITY,2861,18
treatise,SECTION II: THE SAME SUBJECT CONTINUED,1893,8
treatise,SECTION III: OF THE INFLUENCING MOTIVE OF THE WILL,1997,10
treatise,SECTION IV: OF THE CAUSES OF THE VIOLENT PASSIONS,1278,10
treatise,SECTION V: OF THE EFFECTS OF CUSTOM,589,5
treatise,SECTION VI: OF THE INFLUENCE OF THE IMAGINATION ON THE PASSIONS,1029,10
treatise,SECTION VII: OF CONTIGUITY AND DISTANCE IN SPACE AND TIME,1680,9
treatise,SECTION VIII: THE SAME SUBJECT CONTINUED,2070,13
treatise,SECTION IX: OF THE DIRECT PASSIONS,3473,32
treatise,SECTION X: OF CURIOSITY OR THE LOVE OF TRUTH,2025,12
treatise,SECTION I: MORAL DISTINCTIONS NOT DERIVED FROM REASON,4695,28
treatise,SECTION II: MORAL DISTINCTIONS DERIVED FROM A MORAL SENSE,2067,11
treatise,"SECTION I: JUSTICE, WHETHER A NATURAL OR ARTIFICIAL VIRTUE?",2632,19
treatise,SECTION II: OF THE ORIGIN OF JUSTICE AND PROPERTY,6094,28
treatise,SECTION III: OF THE RULES WHICH DETERMINE PROPERTY,1929,11
treatise,SECTION IV: OF THE TRANSFERENCE OF PROPERTY BY CONSENT,706,2
treatise,SECTION V: OF THE OBLIGATION OF PROMISES,3281,15
treatise,SECTION VI: SOME FURTHER REFLECTIONS CONCERNING JUSTICE AND INJUSTICE,2843,11
treatise,SECTION VII: OF THE ORIGIN OF GOVERNMENT,1829,8
treatise,SECTION VIII: OF THE SOURCE OF ALLEGIANCE,3662,9
treatise,SECTION IX: OF THE MEASURES OF ALLEGIANCE,1391,4
treatise,SECTION X: OF THE OBJECTS OF ALLEGIANCE,4642,19
treatise,SECTION XI: OF THE LAWS OF NATIONS,940,5
treatise,SECTION XII: OF CHASTITY AND MODESTY,1311,9
treatise,SECTION I: OF THE ORIGIN OF THE NATURAL VIRTUES AND VICES,6227,31
treatise,SECTION II: OF GREATNESS OF MIND,3512,17
treatise,SECTION III: OF GOODNESS AND BENEVOLENCE,1514,10
treatise,SECTION IV: OF NATURAL ABILITIES,2583,14
treatise,SECTION V: SOME FURTHER REFLECTIONS CONCERNING THE NATURAL VIRTUES,1268,6
treatise,SECTION VI: CONCLUSION OF THIS BOOK,1188,6
